Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-55-38-AM,-0.1,1.116,-0.1,1.444,22.4211,-0.2,1.092,-0.4,1.56,22.7597,-0.4,1.592,0.0,1.672,22.1848,0.1,1.476,-0.1,0.748,22.5227,0.0,1.416,21.543,-0.3,0.728,-0.1,0.648,21.576,0.0,0.7,-0.4,0.788,21.3059,-0.1,0.616,-0.5,0.904,21.576,-0.1,1.364
09-27-2025-Sat 11-55-40-AM,-0.3,1.068,-0.1,1.396,22.5227,-0.2,1.036,-0.6,1.528,22.692,-0.1,1.564,-0.1,1.64,22.1848,-0.3,1.4,-0.3,0.72,22.5565,-0.1,1.34,21.5091,-0.3,0.708,-0.1,0.628,21.576,-0.1,0.676,-0.7,0.76,21.272,-0.3,0.604,-0.1,0.876,21.6107,-0.1,1.336
09-27-2025-Sat 11-55-43-AM,-0.3,1.032,-0.1,1.336,22.5227,-0.1,0.988,-0.6,1.496,22.6581,-0.1,1.528,-0.1,1.604,22.1848,-0.2,1.316,-0.3,0.692,22.5227,-0.3,1.276,21.5091,-0.1,0.688,-0.2,0.612,21.576,-0.1,0.656,-0.4,0.74,21.3059,-0.1,0.592,-0.3,0.852,21.576,0.0,1.308
09-27-2025-Sat 11-55-45-AM,0.1,1.0,0.0,1.276,22.4211,0.0,0.94,-0.2,1.464,22.5904,-0.2,1.5,-0.1,1.56,22.1848,-0.3,1.248,-0.2,0.672,22.5227,0.1,1.224,21.5091,0.2,0.672,-0.3,0.6,21.576,-0.2,0.644,-0.7,0.72,21.272,-0.1,0.58,-0.1,0.832,21.576,0.0,1.28
09-27-2025-Sat 11-55-48-AM,-0.4,0.972,-0.1,1.204,22.4888,-0.2,0.9,-0.2,1.432,22.692,-0.3,1.468,0.0,1.524,22.1848,-0.2,1.192,-0.3,0.656,22.5565,0.0,1.18,21.5091,0.0,0.66,-0.4,0.588,21.576,-0.1,0.628,-0.6,0.704,21.3059,-0.1,0.572,-0.2,0.816,21.576,0.0,1.256
09-27-2025-Sat 11-55-50-AM,-0.4,0.948,-0.2,1.14,22.4888,0.0,0.864,-0.2,1.392,22.7251,0.1,1.44,-0.3,1.484,22.151,-0.3,1.148,-0.1,0.636,22.5227,-0.1,1.148,21.5091,0.0,0.644,-0.4,0.58,21.576,-0.1,0.616,-0.4,0.688,21.3059,-0.2,0.564,-0.4,0.796,21.576,0.0,1.232
09-27-2025-Sat 11-55-52-AM,-0.1,0.924,-0.1,1.084,22.4549,0.0,0.828,-0.1,1.348,22.692,-0.2,1.408,-0.3,1.436,22.151,0.0,1.108,-0.1,0.616,22.5227,0.0,1.116,21.5091,-0.2,0.632,-0.3,0.568,21.576,-0.4,0.608,-0.4,0.672,21.3059,-0.1,0.56,-0.2,0.788,21.576,-0.3,1.208
09-27-2025-Sat 11-55-55-AM,-0.4,0.908,-0.4,1.04,22.4549,-0.3,0.8,-0.5,1.3,22.6243,-0.1,1.376,0.0,1.388,22.151,-0.3,1.076,-0.4,0.604,22.4888,-0.1,1.088,21.5091,-0.3,0.624,-0.1,0.56,21.576,-0.1,0.596,-0.1,0.656,21.3059,-0.4,0.556,-0.3,0.772,21.576,-0.1,1.188
09-27-2025-Sat 11-55-57-AM,-0.1,0.888,-0.2,1.0,22.4888,-0.2,0.776,-0.2,1.244,22.6243,-0.2,1.344,-0.3,1.332,22.151,-0.4,1.052,-0.1,0.596,22.5227,-0.1,1.064,21.5091,-0.1,0.612,-0.3,0.548,21.543,0.1,0.592,-0.2,0.648,21.272,-0.2,0.548,-0.2,0.768,21.576,-0.2,1.168
09-27-2025-Sat 11-55-59-AM,-0.1,0.876,-0.2,0.972,22.4888,0.2,0.756,-0.1,1.188,22.5904,-0.1,1.308,-0.4,1.284,22.151,-0.2,1.028,-0.1,0.588,22.4888,0.0,1.044,21.4752,-0.1,0.604,-0.2,0.544,21.543,-0.3,0.584,-0.4,0.64,21.3059,-0.3,0.548,-0.4,0.76,21.576,0.1,1.152
