,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
132,,77.9,5.628,99.3,5.624,92.1,5.624,92.0,5.668,88.0,5.6,94.3,5.632,89.9,5.588,90.7,5.584,,77.5,5.616,92.0,5.616,83.6,5.62,87.5,5.66,80.5,5.584,86.0,5.644,87.0,5.58,73.1,5.584,,15.0608,14.7907,15.8026,15.7688,7.81746,11.0162,11.1847,12.3975
133,,77.1,5.624,98.8,5.624,91.9,5.624,92.1,5.664,88.0,5.6,94.0,5.632,89.7,5.592,90.4,5.588,,77.3,5.616,91.6,5.624,83.8,5.62,87.5,5.664,80.6,5.592,86.0,5.648,87.0,5.58,73.2,5.584,,14.8923,14.6899,15.6003,15.7357,7.7836,10.9154,11.1509,12.5321
134,,77.2,5.628,98.8,5.628,92.0,5.628,92.1,5.668,88.2,5.604,94.1,5.636,89.9,5.592,90.4,5.592,,77.3,5.62,91.5,5.624,84.1,5.624,87.4,5.66,80.5,5.592,86.0,5.648,86.6,5.58,73.2,5.584,,14.8923,14.6222,15.5672,15.4995,7.68281,10.8477,11.2517,12.6676
135,,76.6,5.628,98.7,5.628,91.7,5.628,91.9,5.668,87.7,5.6,93.6,5.64,89.6,5.592,89.9,5.592,,76.8,5.62,91.3,5.62,83.6,5.628,87.3,5.664,80.1,5.592,85.8,5.648,86.1,5.58,72.8,5.588,,14.8246,14.5552,15.4995,15.4995,7.61588,10.7469,10.8477,12.1951
136,,76.2,5.632,98.2,5.628,91.3,5.628,91.6,5.672,87.8,5.604,93.9,5.64,89.4,5.596,89.9,5.592,,76.6,5.62,91.4,5.62,83.5,5.628,87.3,5.66,79.8,5.592,85.7,5.652,86.1,5.58,72.5,5.588,,14.7238,14.4206,15.4656,15.3309,7.48122,10.7469,10.9154,12.229
137,,75.8,5.632,97.9,5.628,91.3,5.628,91.3,5.672,87.8,5.604,93.6,5.64,89.3,5.592,89.6,5.592,,76.4,5.624,91.0,5.624,83.7,5.624,86.8,5.664,79.6,5.592,85.4,5.652,86.0,5.584,72.6,5.588,,14.656,14.3867,15.3309,15.2293,7.31269,10.5784,10.713,12.162
177,,73.8,5.616,97.4,5.612,91.8,5.616,91.4,5.652,86.7,5.588,91.3,5.628,89.1,5.58,87.6,5.58,,71.4,5.616,85.8,5.616,76.1,5.62,83.1,5.656,76.4,5.588,80.6,5.64,83.6,5.576,69.6,5.584,,11.3863,11.4202,12.4313,11.9935,4.01638,7.2119,7.71667,9.53416
178,,72.1,5.624,95.7,5.62,89.7,5.624,89.6,5.66,85.7,5.6,90.3,5.632,87.8,5.592,85.8,5.584,,70.5,5.624,85.6,5.624,76.4,5.624,82.9,5.66,75.3,5.592,80.4,5.648,82.4,5.584,68.9,5.588,,11.3533,11.3863,12.3636,11.8919,3.88253,7.04338,7.54815,9.50029
179,,71.1,5.62,94.0,5.616,88.2,5.62,88.5,5.66,85.2,5.596,89.6,5.632,87.2,5.588,84.7,5.584,,70.1,5.62,84.8,5.62,76.8,5.624,82.5,5.66,74.7,5.596,79.8,5.644,81.9,5.584,67.8,5.588,,11.3194,11.3194,12.3975,11.9596,3.81479,7.07724,7.38043,9.29871
180,,70.3,5.624,93.0,5.62,87.5,5.62,87.8,5.656,84.6,5.592,89.0,5.628,86.3,5.588,84.1,5.584,,69.4,5.62,84.2,5.62,76.6,5.62,82.3,5.656,74.2,5.592,79.3,5.644,81.0,5.58,67.3,5.588,,11.1847,11.3194,12.3636,11.9596,3.78173,7.00951,7.24496,9.29871
181,,69.9,5.628,92.8,5.624,86.9,5.624,86.9,5.664,84.2,5.6,88.5,5.632,85.9,5.592,83.7,5.592,,69.1,5.62,84.3,5.624,76.4,5.628,82.1,5.664,73.7,5.596,79.3,5.648,80.7,5.584,67.3,5.588,,11.2186,11.2855,12.3636,11.825,3.74787,6.94258,7.48122,9.09632
182,,69.4,5.628,92.0,5.628,86.2,5.628,86.6,5.672,83.9,5.604,88.0,5.636,85.2,5.596,83.4,5.592,,68.7,5.624,83.7,5.624,76.9,5.628,82.0,5.664,73.3,5.596,79.3,5.652,80.4,5.588,66.2,5.592,,11.117,11.1847,12.2967,11.6895,3.74787,6.87566,7.51428,8.99553
183,,69.1,5.636,91.6,5.632,85.7,5.632,85.9,5.672,83.8,5.608,87.9,5.64,85.0,5.596,83.0,5.596,,68.6,5.624,83.9,5.628,77.0,5.632,81.6,5.664,72.0,5.604,79.1,5.656,79.9,5.592,66.5,5.6,,11.117,11.1509,12.162,11.7572,3.61321,6.80793,7.17804,9.23178
184,,68.5,5.636,91.1,5.632,85.1,5.632,85.8,5.672,83.6,5.608,87.6,5.64,84.6,5.604,82.7,5.592,,68.3,5.628,83.2,5.628,77.1,5.632,81.5,5.668,72.8,5.6,79.0,5.652,79.8,5.592,66.1,5.596,,11.1509,11.0831,12.1282,11.6564,3.54628,6.80793,7.17804,8.72621
185,,68.1,5.632,90.7,5.632,84.7,5.636,85.5,5.672,83.1,5.608,87.0,5.644,84.3,5.604,82.5,5.596,,68.4,5.632,83.0,5.632,77.2,5.632,81.2,5.668,72.4,5.604,79.0,5.652,79.4,5.592,66.0,5.6,,10.9154,11.0501,12.0943,11.5548,3.54628,6.70713,7.17804,8.55768
186,,67.6,5.64,90.3,5.636,84.6,5.636,84.8,5.672,83.3,5.612,86.8,5.648,83.9,5.604,82.3,5.6,,68.3,5.628,82.9,5.628,77.4,5.632,81.4,5.668,72.2,5.604,78.9,5.656,79.3,5.592,65.7,5.596,,10.9823,11.0162,12.0943,11.5548,3.47855,6.60634,7.17804,8.65928
187,,67.3,5.64,90.2,5.636,84.1,5.636,85.1,5.672,83.3,5.612,87.0,5.644,83.9,5.604,82.3,5.6,,,,,,,,,,,,,,,,,,,10.9485,10.9154,12.0604,11.3863,3.37776,6.64021,7.31269,8.827
211,,64.4,5.64,86.8,5.64,81.4,5.64,82.0,5.68,81.4,5.616,84.5,5.648,81.2,5.608,79.8,5.608,,65.2,5.632,80.1,5.632,73.8,5.636,78.9,5.668,70.8,5.604,76.0,5.66,77.0,5.596,63.4,5.6,,9.29871,9.50029,10.5106,9.56803,2.00053,5.09284,5.66454,7.51428
212,,63.8,5.636,86.3,5.636,80.8,5.636,80.9,5.672,80.7,5.612,83.7,5.648,80.8,5.608,79.1,5.604,,65.0,5.632,79.7,5.632,73.8,5.636,78.5,5.668,70.5,5.604,75.8,5.656,76.4,5.596,63.3,5.604,,9.23178,9.46724,10.5106,9.56803,1.9328,5.05898,5.6984,7.2119
213,,63.8,5.644,85.8,5.64,80.4,5.636,81.4,5.676,80.7,5.616,83.7,5.648,80.7,5.612,78.9,5.608,,,,,,,,,,,,,,,,,,,9.23178,9.43337,10.5106,9.53416,1.86587,5.05898,5.46214,7.11111
262,,63.3,5.628,84.4,5.628,80.0,5.624,80.3,5.66,78.7,5.604,80.6,5.636,80.0,5.596,76.1,5.592,,63.5,5.628,75.4,5.628,69.8,5.632,74.4,5.668,67.5,5.604,72.0,5.652,73.2,5.592,60.3,5.6,,6.70713,7.14498,8.08678,6.64021,-0.117473,2.53755,3.07538,5.19363
263,,61.5,5.636,82.9,5.632,78.2,5.632,79.2,5.668,77.9,5.608,79.8,5.64,78.9,5.6,75.1,5.596,,63.3,5.632,74.8,5.632,69.1,5.632,74.1,5.668,66.6,5.608,71.6,5.656,72.6,5.596,59.9,5.604,,6.64021,7.07724,8.08678,6.67327,-0.151053,2.57142,2.97459,4.89126
264,,60.9,5.636,82.3,5.636,77.2,5.636,78.1,5.672,77.5,5.616,79.3,5.644,77.9,5.608,74.4,5.608,,62.7,5.636,74.4,5.636,68.9,5.636,74.1,5.668,66.0,5.612,71.0,5.656,71.9,5.596,59.1,5.604,,6.64021,7.14498,7.98599,6.64021,-0.151053,2.50449,3.04232,4.85739
265,,60.1,5.644,81.6,5.636,76.3,5.636,77.3,5.672,76.9,5.612,78.7,5.644,77.2,5.608,73.8,5.604,,61.9,5.628,74.0,5.632,68.7,5.636,74.1,5.668,65.4,5.608,70.7,5.656,71.5,5.6,59.0,5.604,,6.60634,6.97645,8.08678,6.50474,-0.218214,2.50449,3.24391,4.89126
266,,60.1,5.644,80.9,5.644,75.5,5.64,76.7,5.676,76.9,5.62,78.4,5.652,77.0,5.612,73.7,5.612,,,,,,,,,,,,,,,,,,,6.53942,6.97645,7.95212,6.40395,-0.251791,2.47062,2.90766,5.02511
302,,57.1,5.652,77.2,5.652,72.4,5.648,73.5,5.684,74.7,5.632,75.2,5.656,74.1,5.62,70.6,5.616,,59.7,5.64,71.0,5.648,66.4,5.648,71.5,5.68,63.0,5.624,68.4,5.668,68.4,5.612,56.7,5.616,,5.09284,5.52988,6.50474,4.92432,-1.29243,1.02566,1.86587,3.47855
303,,56.5,5.656,76.9,5.652,71.8,5.652,73.0,5.688,74.1,5.632,75.1,5.66,73.9,5.628,70.4,5.624,,59.8,5.648,70.8,5.652,66.4,5.648,71.4,5.684,62.8,5.624,68.4,5.676,68.1,5.612,56.5,5.624,,5.05898,5.46214,6.50474,4.92432,-1.326,1.12726,1.73202,3.51242
304,,56.1,5.656,76.6,5.656,71.7,5.656,73.1,5.688,73.9,5.632,74.7,5.664,73.4,5.628,70.3,5.628,,59.5,5.648,70.8,5.652,66.1,5.652,71.4,5.684,62.6,5.624,68.2,5.672,67.7,5.62,56.5,5.624,,4.95818,5.46214,6.47168,4.82352,-1.39308,1.02566,1.86587,3.3447
305,,56.5,5.656,76.3,5.656,71.3,5.66,72.8,5.692,73.7,5.64,74.5,5.664,73.4,5.632,69.8,5.628,,59.3,5.652,70.6,5.652,66.2,5.652,71.2,5.688,62.6,5.628,68.4,5.676,67.7,5.616,56.6,5.624,,5.02511,5.52988,6.47168,4.82352,-1.326,0.959544,1.69815,3.31083
306,,56.0,5.656,76.4,5.66,71.1,5.66,72.5,5.692,73.7,5.636,74.6,5.664,73.2,5.628,69.9,5.628,,59.3,5.652,70.8,5.656,66.1,5.656,71.3,5.688,62.2,5.628,68.6,5.68,67.4,5.62,56.3,5.628,,4.92432,5.42908,6.47168,4.7566,-1.49378,0.993411,1.66429,3.17617
322,,56.7,5.644,76.7,5.644,71.8,5.644,73.2,5.68,73.3,5.624,74.4,5.652,73.9,5.624,70.8,5.616,,58.6,5.64,69.8,5.648,66.8,5.644,70.2,5.676,62.4,5.62,67.6,5.668,67.0,5.616,55.8,5.62,,4.42035,4.89126,5.86612,4.05025,-1.89651,0.388656,1.12726,2.63915
323,,55.5,5.66,75.7,5.656,70.6,5.656,72.2,5.692,73.0,5.64,73.9,5.664,73.3,5.628,69.7,5.628,,57.8,5.648,69.3,5.652,66.3,5.652,70.0,5.684,61.8,5.628,67.3,5.672,66.4,5.624,55.5,5.628,,4.35343,4.79046,5.7992,4.11717,-1.93007,0.388656,1.0934,2.80687
324,,54.6,5.66,74.7,5.656,69.8,5.66,71.1,5.692,72.4,5.636,73.0,5.668,72.4,5.636,69.2,5.632,,57.5,5.652,69.3,5.656,66.0,5.656,69.5,5.688,61.6,5.628,67.4,5.68,65.9,5.624,55.0,5.628,,4.21796,4.85739,5.7992,4.11717,-1.93007,0.320923,0.925678,2.773
325,,54.4,5.668,74.5,5.668,69.5,5.668,71.0,5.696,72.0,5.644,72.8,5.676,71.8,5.64,68.6,5.636,,57.7,5.66,69.0,5.66,65.5,5.66,69.8,5.692,61.0,5.636,67.2,5.68,66.1,5.632,55.0,5.632,,4.21796,4.72273,5.7992,4.08411,-2.03062,0.187071,0.959544,2.47062
326,,54.1,5.668,74.1,5.668,69.1,5.672,71.1,5.704,72.3,5.648,72.7,5.676,71.6,5.64,68.6,5.64,,57.5,5.664,69.0,5.668,65.6,5.668,70.1,5.696,61.3,5.64,67.5,5.684,66.0,5.632,54.9,5.636,,4.21796,4.65581,5.73146,4.01638,-2.03062,0.153205,0.925678,2.43676
327,,54.0,5.672,73.8,5.676,69.2,5.672,70.8,5.704,72.1,5.648,72.8,5.68,71.6,5.64,68.4,5.64,,57.4,5.66,68.7,5.664,65.5,5.664,70.1,5.696,61.3,5.64,67.4,5.688,66.0,5.636,55.0,5.636,,4.15104,4.58807,5.83226,3.94945,-2.16494,0.0870847,0.993411,2.36983
328,,53.9,5.676,73.5,5.672,69.1,5.672,70.9,5.704,72.1,5.652,72.7,5.68,71.6,5.644,68.1,5.644,,57.1,5.664,68.6,5.668,65.3,5.668,70.2,5.7,61.1,5.644,67.3,5.688,65.8,5.636,54.8,5.64,,4.11717,4.52115,5.6984,3.94945,-2.26561,0.0193522,0.925678,2.33597
342,,53.7,5.648,73.4,5.648,69.2,5.648,70.9,5.68,71.4,5.632,72.2,5.66,72.1,5.624,68.2,5.62,,56.9,5.648,68.7,5.652,66.2,5.652,69.4,5.68,61.9,5.624,67.2,5.672,66.1,5.62,55.3,5.624,,3.31083,3.714,4.99205,3.04232,-3.37259,-1.02379,-0.218214,1.195
343,,52.5,5.668,72.6,5.668,68.1,5.668,69.8,5.7,71.0,5.644,71.4,5.672,71.4,5.64,67.6,5.636,,56.3,5.66,67.8,5.664,65.3,5.664,68.9,5.696,60.3,5.64,66.4,5.684,65.1,5.632,54.5,5.636,,3.24391,3.714,4.89126,3.04232,-3.47332,-1.05743,-0.31895,1.26112
344,,51.9,5.672,72.0,5.676,67.6,5.672,69.2,5.704,70.9,5.656,71.1,5.68,70.8,5.644,67.2,5.644,,55.4,5.664,67.3,5.668,64.9,5.668,68.4,5.696,59.8,5.644,66.1,5.688,64.6,5.636,53.8,5.64,,3.14311,3.57934,4.82352,3.14311,-3.64105,-1.09101,-0.3524,1.02566
345,,51.5,5.676,71.8,5.676,67.0,5.672,69.0,5.704,70.6,5.652,71.0,5.68,70.2,5.644,67.0,5.644,,55.4,5.664,66.7,5.668,64.3,5.668,68.1,5.7,59.5,5.644,65.6,5.688,64.2,5.636,53.4,5.64,,3.14311,3.57934,4.72273,2.94153,-3.70801,-1.25886,-0.3524,1.16113
366,,52.4,5.66,71.5,5.66,67.5,5.66,69.4,5.688,70.1,5.636,70.6,5.668,70.6,5.632,66.8,5.632,,54.4,5.664,65.6,5.664,63.5,5.668,67.2,5.696,59.3,5.64,64.5,5.688,63.4,5.636,53.0,5.64,,1.76588,2.26904,3.47855,1.76588,-5.14997,-2.66825,-2.03062,-0.151053
367,,51.1,5.676,70.8,5.676,66.4,5.676,68.5,5.708,69.9,5.652,69.9,5.68,69.9,5.648,65.9,5.648,,53.8,5.668,65.1,5.672,63.4,5.672,66.4,5.696,58.7,5.644,64.3,5.692,62.7,5.64,52.3,5.644,,1.73202,2.16825,3.41162,1.73202,-5.2841,-2.66825,-1.99719,-0.251791
368,,50.4,5.68,69.7,5.676,65.5,5.68,67.7,5.708,69.5,5.656,69.2,5.684,69.1,5.652,65.3,5.648,,53.1,5.676,64.7,5.676,62.8,5.68,66.1,5.708,57.9,5.652,63.8,5.696,62.7,5.644,51.4,5.652,,1.66429,2.16825,3.41162,1.66429,-5.25057,-2.76885,-2.23206,-0.151053
369,,50.0,5.684,69.3,5.684,65.1,5.684,67.4,5.716,69.2,5.664,69.0,5.692,68.5,5.66,65.1,5.656,,53.1,5.68,64.4,5.68,62.4,5.684,66.0,5.712,57.9,5.656,63.8,5.7,62.2,5.648,51.5,5.656,,1.59817,2.03359,3.3447,1.66429,-5.35116,-2.83597,-2.33274,-0.553934
370,,49.9,5.688,68.9,5.688,64.8,5.688,66.9,5.716,68.8,5.664,68.6,5.692,68.3,5.66,64.8,5.656,,52.9,5.68,64.2,5.684,62.3,5.684,65.9,5.708,57.9,5.66,63.8,5.704,62.0,5.652,51.6,5.656,,1.49657,2.03359,3.14311,1.63042,-5.45168,-2.93663,-2.19843,-0.386048
371,,49.7,5.692,68.6,5.692,64.4,5.688,66.3,5.72,69.0,5.664,68.6,5.696,67.8,5.664,64.3,5.66,,52.9,5.68,64.0,5.688,62.1,5.684,66.0,5.716,57.5,5.656,63.6,5.704,62.1,5.652,51.3,5.656,,1.39658,1.96666,3.14311,1.53043,-5.48521,-2.90308,-2.33274,-0.419626
372,,49.5,5.692,68.6,5.692,64.5,5.688,66.3,5.72,69.0,5.672,68.5,5.7,67.9,5.664,64.2,5.664,,52.6,5.684,63.8,5.688,61.9,5.684,66.0,5.712,57.6,5.66,63.4,5.704,62.3,5.656,51.4,5.656,,1.42883,1.9328,3.17617,1.49657,-5.55219,-3.00373,-2.36616,-0.654667
373,,48.9,5.692,68.5,5.692,64.2,5.688,66.5,5.72,68.4,5.672,68.5,5.7,67.5,5.664,64.3,5.664,,,,,,,,,,,,,,,,,,,1.36271,1.79894,3.07538,1.5643,-5.61931,-3.07077,-2.43336,-0.75533
403,,51.1,5.744,70.5,5.744,66.3,5.74,68.2,5.772,69.5,5.72,69.4,5.748,70.2,5.716,65.3,5.716,,,,,,,,,,,,,,,,,,,-0.419626,0.153205,1.32885,-0.31895,-7.12741,-4.7141,-4.24471,-2.26561
404,,48.3,5.684,67.1,5.684,62.9,5.684,65.2,5.712,67.1,5.66,66.5,5.692,67.2,5.656,62.5,5.652,,,,,,,,,,,,,,,,,,,-0.45321,0.0870847,1.26112,-0.31895,-7.16086,-4.78117,-4.31178,-2.50047
