,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
2745,,-0.1,5.96,-0.1,5.964,-0.1,5.964,0.1,5.968,-0.2,5.968,0.2,5.968,-0.1,5.964,0.0,5.968,,0.1,5.952,0.1,5.964,-0.1,5.968,0.0,5.96,0.0,5.952,0.1,5.968,-0.1,5.956,0.1,5.96,,-85.0493,-85.0493,-85.2123,-86.0269,-92.664,-90.4863,-89.2829,-87.8183
2746,,0.0,5.96,-0.2,5.964,-0.1,5.964,-0.3,5.968,0.3,5.968,0.0,5.968,-0.1,5.964,0.4,5.968,,-0.1,5.956,0.2,5.96,-0.1,5.964,-0.1,5.96,0.0,5.952,-0.1,5.968,0.0,5.956,0.1,5.96,,-85.0167,-85.1471,-85.2775,-86.0596,-92.7613,-90.5514,-89.3804,-87.8833
2747,,-0.1,5.96,-0.2,5.964,0.0,5.964,0.0,5.972,0.2,5.968,-0.1,5.968,-0.4,5.968,0.1,5.968,,0.0,5.956,0.1,5.964,0.2,5.968,0.1,5.964,0.0,5.952,0.1,5.968,0.1,5.956,-0.1,5.96,,-85.2449,-85.2775,-85.3427,-86.1573,-92.8589,-90.6488,-89.4455,-87.9811
2748,,-0.2,5.956,-0.2,5.968,0.1,5.968,-0.1,5.972,-0.1,5.968,-0.2,5.968,-0.4,5.968,0.1,5.964,,-0.1,5.956,-0.1,5.964,0.0,5.964,0.1,5.96,-0.2,5.956,0.1,5.968,0.1,5.956,0.0,5.96,,-85.1471,-85.3102,-85.4404,-86.2225,-92.9237,-90.714,-89.5106,-88.0136
2749,,-0.2,5.956,0.0,5.964,0.2,5.968,-0.2,5.972,0.0,5.964,-0.2,5.968,0.1,5.968,-0.1,5.964,,0.3,5.952,0.1,5.964,-0.3,5.964,-0.4,5.964,-0.3,5.956,-0.1,5.968,0.0,5.956,0.2,5.96,,-85.2775,-85.3102,-85.5056,-86.2877,-92.9888,-90.7464,-89.6082,-88.1113
2750,,0.0,5.96,-0.1,5.964,-0.2,5.968,-0.3,5.976,0.1,5.964,0.0,5.968,0.0,5.968,0.3,5.964,,0.1,5.956,-0.2,5.964,-0.1,5.964,0.2,5.96,-0.1,5.952,0.0,5.968,0.4,5.956,-0.1,5.96,,-85.3102,-85.4731,-85.5708,-86.3854,-93.0537,-90.8114,-89.6731,-88.1439
2751,,0.1,5.96,-0.1,5.964,0.0,5.968,-0.2,5.972,0.1,5.968,0.1,5.968,-0.1,5.968,0.1,5.968,,0.1,5.956,0.1,5.96,-0.1,5.968,0.3,5.96,-0.1,5.956,0.2,5.968,-0.2,5.956,0.0,5.96,,-85.5056,-85.5056,-85.6686,-86.4505,-93.1512,-90.9415,-89.7708,-88.2415
2752,,0.0,5.956,-0.2,5.964,0.0,5.964,0.0,5.972,-0.3,5.968,-0.1,5.964,0.0,5.968,0.2,5.964,,0.1,5.956,-0.2,5.964,-0.1,5.964,-0.1,5.96,0.1,5.956,0.1,5.968,0.0,5.952,0.0,5.956,,-85.5708,-85.5708,-85.7011,-86.5157,-93.2161,-91.0065,-89.8358,-88.3066
2753,,0.2,5.96,-0.2,5.964,0.2,5.968,-0.2,5.972,-0.1,5.968,-0.1,5.964,0.1,5.968,-0.1,5.964,,0.2,5.956,-0.2,5.96,-0.2,5.964,-0.2,5.96,-0.3,5.956,0.1,5.964,-0.2,5.956,-0.2,5.96,,-85.6033,-85.7011,-85.7663,-86.5807,-93.2811,-91.039,-89.9335,-88.3716
2754,,-0.1,5.96,-0.2,5.964,-0.1,5.968,-0.2,5.968,-0.2,5.964,-0.1,5.964,-0.3,5.968,0.0,5.964,,0.2,5.956,0.2,5.96,0.0,5.964,-0.2,5.96,0.0,5.952,0.0,5.968,0.1,5.956,0.0,5.96,,-85.636,-85.6686,-85.8641,-86.646,-93.3785,-91.1041,-89.966,-88.4693
2755,,-0.1,5.96,0.1,5.964,0.1,5.968,0.1,5.968,0.0,5.964,-0.1,5.964,0.1,5.964,0.0,5.964,,0.3,5.956,0.1,5.96,-0.1,5.964,0.0,5.96,-0.1,5.952,0.0,5.968,0.0,5.952,0.1,5.96,,-85.7337,-85.799,-85.9292,-86.7111,-93.3785,-91.2016,-90.031,-88.5019
2756,,0.1,5.956,-0.2,5.964,-0.1,5.964,-0.2,5.968,-0.4,5.964,0.0,5.964,0.0,5.968,-0.2,5.968,,0.1,5.956,-0.2,5.964,-0.1,5.964,0.1,5.964,-0.1,5.952,0.0,5.964,-0.1,5.952,0.1,5.96,,-85.7011,-85.8641,-85.9944,-86.7762,-93.5085,-91.2341,-90.0961,-88.567
2757,,0.0,5.96,-0.1,5.964,-0.1,5.964,-0.2,5.968,-0.4,5.964,0.2,5.968,-0.3,5.964,0.3,5.968,,0.1,5.956,-0.2,5.96,-0.3,5.964,-0.1,5.956,0.1,5.952,0.1,5.968,-0.1,5.952,0.2,5.956,,-85.7663,-85.9619,-86.0596,-86.8414,-93.5409,-91.299,-90.161,-88.6646
2758,,0.1,5.956,-0.3,5.968,-0.2,5.964,-0.1,5.972,-0.2,5.968,0.1,5.968,-0.3,5.968,0.0,5.964,,0.3,5.956,0.1,5.964,-0.1,5.964,0.2,5.96,-0.2,5.948,0.0,5.964,-0.4,5.952,-0.1,5.96,,-85.8967,-85.9619,-86.1573,-86.9065,-93.6058,-91.3641,-90.2587,-88.6646
2759,,-0.1,5.96,0.2,5.964,-0.1,5.964,-0.1,5.972,-0.1,5.968,-0.1,5.964,-0.1,5.968,-0.1,5.964,,0.2,5.956,-0.2,5.96,-0.3,5.968,-0.3,5.96,-0.2,5.952,0.1,5.968,-0.1,5.956,-0.1,5.956,,-86.0269,-86.0596,-86.1899,-86.9717,-93.7033,-91.4291,-90.3236,-88.7622
2760,,0.0,5.96,-0.3,5.964,-0.2,5.964,-0.2,5.972,0.0,5.968,0.0,5.964,-0.3,5.968,0.0,5.964,,-0.1,5.956,-0.1,5.964,0.0,5.96,0.1,5.96,0.1,5.952,-0.1,5.968,-0.1,5.956,-0.1,5.96,,-86.0596,-86.0921,-86.2225,-87.0042,-93.7357,-91.4941,-90.3562,-88.8598
2761,,-0.1,5.956,-0.1,5.964,-0.1,5.964,-0.1,5.968,-0.1,5.964,0.2,5.968,0.0,5.968,0.0,5.964,,0.4,5.956,0.2,5.964,-0.1,5.964,-0.1,5.964,-0.3,5.952,0.1,5.964,-0.2,5.952,-0.2,5.96,,-86.0596,-86.1573,-86.3203,-87.1019,-93.7682,-91.5916,-90.4538,-88.8924
2762,,-0.1,5.96,0.1,5.964,0.0,5.968,-0.2,5.972,-0.1,5.968,0.1,5.964,-0.1,5.968,0.0,5.968,,-0.1,5.956,0.3,5.964,0.0,5.964,0.0,5.96,0.1,5.952,0.1,5.968,0.0,5.956,0.1,5.96,,-86.1248,-86.255,-86.3854,-87.1345,-93.8332,-91.6241,-90.4863,-88.9249
2837,,0.1,5.964,0.0,5.968,0.0,5.968,-0.3,5.972,-0.3,5.972,0.0,5.968,0.2,5.968,0.1,5.968,,,,,,,,,,,,,,,,,,,-90.2261,-90.0636,-90.3887,-91.3641,-96.9156,-95.1964,-94.2227,-92.7613
2838,,-0.1,5.96,-0.2,5.968,-0.4,5.968,-0.1,5.972,0.0,5.968,0.1,5.964,0.0,5.972,0.1,5.968,,,,,,,,,,,,,,,,,,,-90.3236,-90.0636,-90.4213,-91.3966,-96.9479,-95.1964,-94.2227,-92.7939
2839,,-0.1,5.96,-0.3,5.964,-0.1,5.968,-0.2,5.972,-0.1,5.968,-0.2,5.964,-0.2,5.968,0.3,5.968,,0.4,5.956,0.0,5.964,-0.3,5.964,0.0,5.968,0.1,5.952,0.0,5.968,0.0,5.96,0.0,5.964,,-90.3236,-90.0636,-90.4863,-91.4291,-96.9803,-95.2613,-94.2876,-92.8264
2840,,-0.2,5.96,0.1,5.964,-0.2,5.968,-0.1,5.972,-0.2,5.972,0.0,5.968,-0.4,5.968,-0.1,5.968,,0.0,5.956,0.1,5.968,-0.2,5.968,0.0,5.964,-0.1,5.956,0.1,5.968,0.1,5.956,0.1,5.964,,-90.4213,-90.2261,-90.5188,-91.4616,-97.0128,-95.2938,-94.3201,-92.8589
2841,,-0.1,5.96,-0.1,5.964,0.1,5.968,-0.1,5.972,-0.1,5.968,0.1,5.968,-0.2,5.968,-0.2,5.964,,0.2,5.96,0.2,5.964,-0.2,5.968,-0.2,5.964,-0.2,5.956,0.0,5.968,-0.1,5.956,-0.1,5.96,,-90.4213,-90.1937,-90.5514,-91.4941,-97.0452,-95.2938,-94.3201,-92.9237
2842,,0.0,5.96,0.1,5.968,0.0,5.968,-0.1,5.972,-0.2,5.972,-0.1,5.968,-0.3,5.968,0.3,5.968,,0.0,5.956,0.0,5.964,-0.1,5.964,0.0,5.964,-0.1,5.956,0.2,5.972,0.2,5.956,-0.1,5.964,,-90.5188,-90.2261,-90.5839,-91.5266,-97.0128,-95.3262,-94.3849,-92.9237
2843,,0.0,5.96,0.0,5.968,-0.3,5.968,-0.4,5.972,0.1,5.968,-0.1,5.972,-0.3,5.968,-0.2,5.972,,0.0,5.956,0.2,5.964,0.0,5.964,-0.1,5.968,0.0,5.956,0.2,5.972,0.1,5.96,0.2,5.964,,-90.5839,-90.2913,-90.6164,-91.5916,-97.0452,-95.3586,-94.4175,-92.9888
2844,,0.1,5.96,-0.1,5.968,0.1,5.968,-0.2,5.972,-0.1,5.968,-0.1,5.968,-0.2,5.972,0.0,5.968,,0.0,5.96,-0.2,5.964,-0.1,5.968,-0.2,5.964,-0.3,5.96,0.0,5.968,-0.2,5.956,0.1,5.96,,-90.5514,-90.3236,-90.6814,-91.6566,-97.0777,-95.3586,-94.4175,-93.0213
2845,,-0.1,5.964,0.0,5.968,0.1,5.968,0.0,5.972,0.1,5.968,0.2,5.968,0.0,5.968,0.0,5.968,,0.3,5.956,0.2,5.968,-0.2,5.968,-0.1,5.964,-0.5,5.956,0.1,5.972,-0.1,5.956,-0.1,5.96,,-90.5839,-90.3887,-90.714,-91.6891,-97.11,-95.4235,-94.45,-93.0537
2846,,0.2,5.964,-0.1,5.968,0.2,5.968,-0.2,5.972,0.1,5.972,-0.1,5.968,-0.1,5.972,0.1,5.968,,0.1,5.96,0.0,5.964,0.0,5.968,0.0,5.968,-0.1,5.956,0.0,5.972,-0.2,5.96,0.1,5.964,,-90.6488,-90.4538,-90.7464,-91.7216,-97.1425,-95.4235,-94.5149,-93.0862
2847,,-0.1,5.96,-0.2,5.964,0.0,5.968,-0.5,5.972,-0.2,5.972,0.3,5.968,-0.3,5.972,-0.1,5.968,,0.2,5.96,-0.1,5.964,0.0,5.968,-0.1,5.964,-0.3,5.956,-0.1,5.972,0.3,5.956,-0.2,5.964,,-90.6488,-90.5188,-90.8114,-91.7542,-97.1425,-95.456,-94.5473,-93.1512
2848,,0.1,5.96,0.1,5.968,-0.3,5.968,-0.1,5.972,-0.1,5.972,-0.2,5.964,-0.4,5.972,0.0,5.968,,0.1,5.96,0.0,5.968,-0.3,5.968,0.1,5.968,-0.2,5.96,0.0,5.972,-0.3,5.96,0.1,5.964,,-90.6814,-90.5514,-90.8439,-91.7867,-97.1749,-95.4884,-94.5473,-93.1837
2849,,0.2,5.964,0.0,5.968,0.0,5.972,0.1,5.972,0.1,5.972,0.0,5.972,-0.1,5.972,0.2,5.972,,0.0,5.96,0.1,5.968,-0.1,5.968,-0.1,5.964,-0.1,5.956,0.0,5.972,-0.1,5.964,0.0,5.96,,-90.779,-90.6164,-90.8764,-91.8191,-97.1749,-95.5533,-94.6122,-93.1837
2850,,0.0,5.964,0.1,5.968,-0.2,5.972,-0.4,5.976,-0.2,5.972,0.1,5.968,0.0,5.972,-0.1,5.972,,0.1,5.96,-0.1,5.968,0.1,5.968,-0.1,5.968,-0.3,5.96,0.2,5.976,0.1,5.956,0.2,5.968,,-90.8439,-90.6164,-90.9091,-91.8842,-97.2073,-95.5533,-94.6772,-93.2161
5,,,,,,,,,,,,,,,,,,,123.6,5.204,128.2,5.208,121.8,5.212,108.2,5.288,118.1,5.18,134.2,5.26,127.0,5.168,107.8,5.172,,22.151,22.5904,22.2187,22.2864,21.4075,21.543,21.2051,21.7792
176,,,,,,,,,,,,,,,,,,,72.3,5.588,86.2,5.588,75.2,5.592,82.7,5.632,77.5,5.564,81.1,5.616,84.6,5.552,71.0,5.556,,11.4879,11.4879,12.5999,12.1282,4.05025,7.31269,7.68281,9.43337
261,,,,,,,,,,,,,,,,,,,64.5,5.596,75.5,5.6,69.1,5.6,74.0,5.632,67.6,5.568,72.1,5.616,73.8,5.56,61.3,5.568,,6.70713,7.07724,8.12065,6.70713,-0.0838943,2.63915,3.10925,5.09284
300,,,,,,,,,,,,,,,,,,,61.4,5.636,72.5,5.636,67.6,5.64,71.7,5.672,64.8,5.612,69.3,5.66,70.2,5.6,58.3,5.608,,5.1259,5.59761,6.67327,4.99205,-1.25886,1.12726,1.76588,3.54628
321,,,,,,,,,,,,,,,,,,,58.8,5.616,70.1,5.62,66.9,5.62,70.2,5.652,63.3,5.592,68.0,5.644,67.7,5.588,56.5,5.592,,4.38649,4.99205,5.96691,4.15104,-1.82937,0.456388,1.12726,2.773
365,,,,,,,,,,,,,,,,,,,55.2,5.636,66.0,5.64,64.4,5.636,67.1,5.668,59.7,5.616,65.1,5.66,63.8,5.604,53.4,5.612,,1.76588,2.33597,3.47855,1.86587,-5.14997,-2.60114,-1.82937,-0.117473
410,,,,,,,,,,,,,,,,,,,50.0,5.696,60.4,5.704,58.9,5.704,62.8,5.724,54.3,5.676,60.8,5.72,59.1,5.672,48.9,5.672,,-0.788907,-0.251791,0.959544,-0.654667,-7.52939,-5.11645,-4.61356,-2.76885
480,,,,,,,,,,,,,,,,,,,47.2,5.772,56.6,5.776,55.4,5.776,59.9,5.796,50.9,5.752,57.6,5.792,54.8,5.748,45.8,5.752,,-3.97644,-3.23853,-2.16494,-3.84226,-10.1415,-7.86439,-7.49595,-5.55219
515,,,,,,,,,,,,,,,,,,,46.0,5.788,54.6,5.792,53.4,5.792,57.7,5.816,49.2,5.772,55.5,5.812,52.6,5.764,44.2,5.772,,-5.25057,-4.44587,-3.54034,-5.35116,-11.0785,-8.93615,-8.5677,-6.79234
544,,,,,,,,,,,,,,,,,,,45.5,5.792,53.0,5.796,52.2,5.8,56.9,5.82,48.2,5.776,54.3,5.816,51.1,5.768,43.0,5.776,,-6.15557,-5.25057,-4.37878,-6.055,-11.5471,-9.57225,-9.30449,-7.66343
747,,,,,,,,,,,,,,,,,,,40.8,5.812,48.3,5.816,48.0,5.812,50.7,5.832,43.5,5.788,48.4,5.824,44.9,5.788,39.0,5.796,,-10.0745,-9.33797,-8.76874,-10.175,-14.5905,-12.7849,-12.6176,-11.6809
774,,,,,,,,,,,,,,,,,,,39.4,5.816,46.3,5.82,46.0,5.824,49.3,5.836,41.9,5.8,47.3,5.836,43.6,5.796,37.8,5.804,,-10.9447,-10.175,-9.77323,-11.0452,-15.6935,-13.7547,-13.6878,-12.4839
941,,,,,,,,,,,,,,,,,,,34.4,5.844,41.9,5.848,41.9,5.852,45.4,5.86,33.1,5.832,40.7,5.864,37.6,5.828,31.8,5.828,,-14.7576,-13.855,-13.6544,-15.1588,-19.5009,-17.6646,-15.4261,-15.2925
971,,,,,,,,,,,,,,,,,,,28.7,5.864,36.3,5.872,37.0,5.872,41.2,5.884,24.9,5.86,32.7,5.888,32.3,5.852,26.3,5.86,,-16.5289,-16.0611,-15.6602,-16.7961,-21.97,-20.3687,-17.1636,-16.295
1064,,,,,,,,,,,,,,,,,,,15.8,5.916,20.3,5.92,21.5,5.92,24.5,5.924,13.8,5.908,17.5,5.932,16.7,5.908,14.2,5.912,,-23.2371,-23.1372,-22.3035,-23.3705,-25.2369,-23.6705,-21.036,-20.3019
1103,,,,,,,,,,,,,,,,,,,11.2,5.928,15.4,5.936,16.6,5.936,19.1,5.936,11.2,5.924,13.9,5.94,12.8,5.92,10.8,5.924,,-25.8033,-26.0031,-24.7371,-25.9364,-27.9678,-26.0364,-22.9704,-22.2701
1104,,,,,,,,,,,,,,,,,,,10.4,5.932,15.1,5.936,16.4,5.932,18.9,5.94,11.1,5.924,13.9,5.944,12.9,5.92,10.6,5.928,,-25.8366,-26.0031,-24.8037,-26.0031,-28.0344,-26.103,-23.1038,-22.2368
1127,,,,,,,,,,,,,,,,,,,8.7,5.92,12.4,5.928,13.3,5.924,16.0,5.928,9.5,5.916,11.5,5.936,11.0,5.916,8.9,5.92,,-27.9344,-28.1343,-26.7026,-27.6349,-30.1309,-27.7015,-24.6037,-23.8372
1151,,,,,,,,,,,,,,,,,,,7.2,5.944,10.3,5.952,11.3,5.948,13.9,5.952,8.2,5.936,9.6,5.956,9.1,5.94,7.6,5.94,,-29.898,-30.1974,-28.4005,-28.7666,-32.1262,-29.2326,-26.3029,-25.1036
1152,,,,,,,,,,,,,,,,,,,7.0,5.92,10.5,5.932,11.5,5.932,13.6,5.932,8.0,5.92,9.6,5.936,9.1,5.92,7.4,5.924,,-29.9978,-30.1974,-28.4671,-28.7666,-32.1927,-29.3324,-26.4028,-25.137
1156,,,,,,,,,,,,,,,,,,,7.1,5.944,10.0,5.948,11.2,5.948,13.4,5.952,7.7,5.936,9.5,5.956,9.2,5.936,7.3,5.944,,-30.2307,-30.4968,-28.7334,-28.8665,-32.4586,-29.532,-26.6359,-25.3702
1184,,,,,,,,,,,,,,,,,,,5.7,5.944,8.4,5.952,9.3,5.952,11.0,5.952,6.7,5.94,7.8,5.956,7.6,5.94,5.8,5.944,,-32.1262,-32.1927,-30.1309,-28.7999,-34.4524,-31.2285,-28.4005,-26.8358
1185,,,,,,,,,,,,,,,,,,,5.8,5.94,8.3,5.948,9.3,5.952,10.9,5.952,6.4,5.936,7.9,5.956,7.5,5.94,5.6,5.944,,-32.0929,-32.2591,-30.1641,-28.7999,-34.5189,-31.295,-28.4338,-26.9023
1191,,,,,,,,,,,,,,,,,,,5.6,5.944,8.2,5.956,9.0,5.952,10.7,5.948,6.2,5.94,7.9,5.96,7.5,5.94,5.9,5.944,,-32.5251,-32.5915,-30.397,-28.933,-34.9507,-31.6275,-28.7999,-27.2021
1192,,,,,,,,,,,,,,,,,,,5.4,5.948,7.9,5.952,8.8,5.952,10.7,5.952,6.5,5.936,7.7,5.956,7.3,5.94,5.8,5.948,,-32.6248,-32.6913,-30.4635,-28.9996,-35.0171,-31.6939,-28.8665,-27.2686
1193,,,,,,,,,,,,,,,,,,,5.5,5.948,7.8,5.952,8.5,5.956,10.7,5.948,6.2,5.944,7.6,5.956,7.2,5.94,5.5,5.948,,-32.658,-32.7577,-30.4968,-29.0329,-35.1167,-31.7604,-28.933,-27.3352
1229,,,,,,,,,,,,,,,,,,,4.6,5.948,6.8,5.956,6.7,5.96,8.1,5.956,4.7,5.948,6.2,5.96,5.8,5.944,4.3,5.948,,-34.8178,-34.7181,-30.9624,-30.1974,-37.6066,-34.0205,-31.3614,-29.3989
1230,,,,,,,,,,,,,,,,,,,4.4,5.948,6.4,5.956,6.8,5.956,8.3,5.956,4.7,5.948,5.8,5.964,5.6,5.944,4.3,5.952,,-34.9507,-34.7513,-30.9624,-30.2638,-37.673,-34.0869,-31.4279,-29.4655
1231,,,,,,,,,,,,,,,,,,,4.4,5.952,6.3,5.956,6.6,5.956,8.0,5.956,4.9,5.944,6.1,5.964,5.6,5.948,4.4,5.956,,-34.9507,-34.8178,-30.9956,-30.2972,-37.7062,-34.1534,-31.4945,-29.532
1249,,,,,,,,,,,,,,,,,,,4.0,5.944,5.6,5.948,6.3,5.948,7.3,5.948,4.1,5.936,5.5,5.956,4.9,5.94,4.1,5.94,,-36.0796,-35.8141,-31.5277,-31.0622,-39.0663,-35.4155,-32.8575,-30.7628
1250,,,,,,,,,,,,,,,,,,,3.8,5.948,5.7,5.96,6.2,5.956,7.3,5.956,4.1,5.948,5.1,5.964,5.1,5.948,3.7,5.952,,-36.1461,-35.8141,-31.5277,-31.1287,-39.1658,-35.5153,-32.9239,-30.7961
1251,,,,,,,,,,,,,,,,,,,4.0,5.952,5.5,5.96,6.2,5.96,7.0,5.96,4.2,5.948,5.3,5.964,5.0,5.952,3.7,5.956,,-36.2457,-35.9801,-31.561,-31.162,-39.199,-35.5485,-32.9904,-30.8626
1300,,,,,,,,,,,,,,,,,,,3.0,5.956,4.1,5.964,4.5,5.964,5.6,5.964,3.4,5.956,4.0,5.968,3.8,5.956,3.3,5.96,,-38.5356,-38.0048,-32.9904,-33.2562,-41.9837,-38.3366,-36.1461,-33.788
1301,,,,,,,,,,,,,,,,,,,3.3,5.96,4.2,5.964,4.2,5.968,5.2,5.964,3.1,5.952,4.2,5.972,3.7,5.956,3.1,5.96,,-38.5356,-38.071,-33.0569,-33.3228,-42.0169,-38.4028,-36.1793,-33.8212
1302,,,,,,,,,,,,,,,,,,,3.0,5.956,4.3,5.964,4.5,5.964,5.4,5.968,3.3,5.956,4.2,5.972,3.9,5.956,3.0,5.96,,-38.5687,-38.1375,-33.0569,-33.356,-42.0832,-38.4361,-36.2457,-33.8876
1344,,,,,,,,,,,,,,,,,,,2.7,5.956,3.6,5.968,3.7,5.972,4.5,5.968,2.3,5.96,3.4,5.976,3.1,5.96,2.4,5.964,,-40.227,-39.4643,-34.2863,-35.0834,-43.7725,-40.2602,-38.4361,-35.9801
1345,,,,,,,,,,,,,,,,,,,2.5,5.964,3.5,5.968,3.8,5.968,4.5,5.968,2.7,5.96,3.5,5.972,3.2,5.96,2.2,5.96,,-40.1607,-39.4975,-34.3527,-35.1499,-43.8387,-40.3597,-38.5356,-36.1129
1385,,,,,,,,,,,,,,,,,,,2.2,5.964,3.2,5.968,3.0,5.972,3.7,5.968,2.3,5.96,2.9,5.976,2.7,5.96,1.9,5.968,,-41.4535,-40.6249,-35.5485,-36.7769,-45.13,-41.8512,-40.3265,-37.9384
1386,,,,,,,,,,,,,,,,,,,2.4,5.964,3.1,5.972,3.0,5.972,3.8,5.968,2.3,5.96,2.6,5.972,2.3,5.96,2.1,5.964,,-41.4535,-40.5917,-35.5816,-36.7769,-45.163,-41.8842,-40.3927,-38.038
1441,,,,,,,,,,,,,,,,,,,2.2,5.96,3.0,5.964,2.8,5.968,3.2,5.968,2.0,5.96,2.4,5.976,2.2,5.96,2.0,5.968,,-42.8451,-41.8512,-37.142,-38.801,-46.4867,-43.6069,-42.4476,-40.2934
1444,,,,,,,,,,,,,,,,,,,2.2,5.968,2.7,5.972,2.5,5.976,3.1,5.972,1.8,5.968,2.3,5.98,2.4,5.968,1.8,5.968,,-42.9776,-41.9837,-37.2747,-38.9337,-46.586,-43.7062,-42.5801,-40.426
1445,,,,,,,,,,,,,,,,,,,2.2,5.968,2.4,5.976,2.8,5.976,3.1,5.976,1.8,5.968,2.4,5.98,2.0,5.964,1.9,5.972,,-42.9114,-42.0169,-37.3079,-38.9669,-46.619,-43.7725,-42.6133,-40.4591
1446,,,,,,,,,,,,,,,,,,,2.3,5.972,2.6,5.976,2.5,5.98,3.3,5.976,1.8,5.968,2.6,5.984,2.0,5.968,1.7,5.972,,-43.0108,-41.9506,-37.3411,-39.0,-46.619,-43.7725,-42.6133,-40.4923
1499,,,,,,,,,,,,,,,,,,,2.1,5.968,2.1,5.972,2.2,5.976,2.6,5.972,1.4,5.968,2.2,5.98,1.9,5.968,1.7,5.972,,-43.9381,-42.9445,-38.7015,-40.658,-47.446,-44.9975,-44.1037,-42.2156
1501,,,,,,,,,,,,,,,,,,,2.2,5.972,2.4,5.98,2.3,5.984,2.4,5.98,1.3,5.976,2.1,5.988,1.9,5.972,1.8,5.976,,-44.0043,-43.0438,-38.7678,-40.7243,-47.512,-45.0306,-44.2029,-42.3151
1541,,,,,,,,,,,,,,,,,,,1.9,5.972,2.1,5.98,2.1,5.976,2.5,5.976,1.4,5.968,1.8,5.984,1.6,5.972,1.7,5.976,,-44.6334,-43.64,-39.8291,-41.8512,-48.0412,-45.858,-45.13,-43.4414
1542,,,,,,,,,,,,,,,,,,,1.8,5.972,2.2,5.98,2.2,5.98,2.5,5.976,1.8,5.972,1.7,5.984,1.6,5.972,1.6,5.976,,-44.6334,-43.6069,-39.8291,-41.8842,-48.0081,-45.858,-45.0969,-43.4745
1572,,,,,,,,,,,,,,,,,,,1.6,5.968,2.2,5.976,2.1,5.98,2.3,5.976,1.3,5.968,1.4,5.98,1.6,5.972,1.4,5.972,,-45.0306,-43.9381,-40.5254,-42.5801,-48.3058,-46.3213,-45.6595,-44.1698
1619,,,,,,,,,,,,,,,,,,,1.7,5.968,2.1,5.976,1.9,5.976,2.1,5.972,1.2,5.968,1.6,5.98,1.1,5.968,1.3,5.972,,-45.4278,-44.4017,-41.6192,-43.7062,-48.7356,-47.0159,-46.4867,-45.163
1620,,,,,,,,,,,,,,,,,,,1.7,5.968,1.9,5.976,1.7,5.976,2.1,5.976,1.2,5.968,1.6,5.98,1.1,5.968,1.2,5.972,,-45.4609,-44.4679,-41.6524,-43.7062,-48.7686,-47.0159,-46.4867,-45.163
1637,,,,,,,,,,,,,,,,,,,1.9,5.964,2.2,5.976,1.8,5.976,2.0,5.976,1.2,5.964,1.7,5.984,1.3,5.964,1.4,5.972,,-45.5602,-44.6995,-42.05,-44.0706,-48.8678,-47.2144,-46.7183,-45.494
1638,,,,,,,,,,,,,,,,,,,1.7,5.968,2.1,5.976,1.6,5.976,2.1,5.976,1.4,5.968,1.5,5.98,1.4,5.968,1.4,5.972,,-45.5602,-44.6665,-42.05,-44.1037,-48.8678,-47.2806,-46.7183,-45.494
1939,,,,,,,,,,,,,,,,,,,1.0,5.94,1.3,5.948,1.2,5.948,1.0,5.948,0.6,5.936,0.9,5.952,0.9,5.936,0.8,5.948,,-47.8427,-48.1074,-47.5783,-48.6694,-53.1619,-51.7753,-51.1478,-50.2889
1979,,,,,,,,,,,,,,,,,,,0.7,5.944,0.6,5.948,0.8,5.952,0.9,5.948,0.5,5.94,0.8,5.956,0.5,5.944,0.8,5.948,,-49.8593,-50.4871,-49.9585,-50.6522,-56.3946,-54.4488,-53.9538,-52.8318
1990,,,,,,,,,,,,,,,,,,,0.8,5.948,0.6,5.952,0.7,5.956,0.8,5.956,0.1,5.944,0.7,5.96,0.6,5.948,0.5,5.948,,-50.4871,-51.1808,-50.7184,-51.412,-57.3505,-55.3065,-54.7787,-53.6569
2006,,,,,,,,,,,,,,,,,,,0.6,5.944,0.7,5.956,0.3,5.956,0.8,5.956,0.6,5.944,0.5,5.964,0.3,5.948,0.5,5.952,,-51.0487,-51.6431,-51.3459,-52.1055,-58.1414,-56.0319,-55.5044,-54.4158
2025,,,,,,,,,,,,,,,,,,,0.5,5.956,0.5,5.96,0.5,5.96,0.6,5.96,0.5,5.952,0.6,5.964,0.7,5.952,0.6,5.956,,-51.8082,-52.2375,-52.1385,-52.9308,-58.9978,-56.9219,-56.2957,-55.2405
2092,,,,,,,,,,,,,,,,,,,0.3,5.952,0.5,5.96,0.5,5.964,0.4,5.96,0.2,5.952,0.5,5.968,0.5,5.956,0.5,5.96,,-54.2509,-54.4158,-54.6798,-55.7022,-61.9604,-59.9528,-59.2613,-57.9106
2134,,,,,,,,,,,,,,,,,,,0.2,5.952,0.5,5.96,0.5,5.964,0.2,5.96,0.1,5.952,0.1,5.968,0.5,5.952,0.2,5.96,,-56.2957,-56.3616,-56.7902,-57.8448,-64.4924,-62.2894,-61.7301,-60.1503
