Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,14.0497,,,,,,14.9931,,,,,,15.9381,,,,,,14.5552,54.6,5.7,,52.8,5.704,9.53416,55.2,5.708,,55.8,5.728,12.9369,42.9,5.688,,45.7,5.728,14.2512,42.6,5.68,,44.9,5.684,14.2182
,,,,,,13.9819,,,,,,15.0947,,,,,,15.9381,,,,,,14.5552,55.5,5.736,,53.3,5.744,9.3995,56.1,5.74,,56.1,5.764,12.8692,43.6,5.72,,46,5.764,14.1166,43.1,5.724,,45.5,5.72,14.4875
,,,,,,12.8023,,,,,,13.8134,,,,,,14.9262,,,,,,13.2062,54.5,5.7,,53.3,5.704,7.81746,55.7,5.704,,55.1,5.728,11.5887,42.9,5.688,,45.9,5.728,12.7007,43.2,5.684,,45.3,5.684,12.9369
,,,,,,12.7345,,,,,,13.8134,,,,,,14.8923,,,,,,13.274,53.3,5.7,,52.2,5.708,7.8852,55.2,5.708,,54,5.728,11.6564,42.4,5.692,,45.2,5.728,12.8023,42.1,5.684,,44.6,5.684,13.0716
,,,,,,12.7007,,,,,,13.7795,,,,,,14.8246,,,,,,13.3409,52.6,5.7,,51.5,5.712,7.71667,54.4,5.708,,53.6,5.728,11.5548,42.4,5.692,,44.9,5.728,12.9708,42.1,5.688,,43.7,5.692,13.0038
,,,,,,12.6676,,,,,,13.8134,,,,,,14.8584,,,,,,13.1732,52.3,5.704,,51.3,5.708,7.61588,54,5.708,,53.3,5.736,11.5218,41.8,5.688,,44.3,5.732,12.5321,41.5,5.688,,43.6,5.692,12.7684
,,,,,,11.0831,,,,,,12.2967,,,,,,13.5102,,,,,,11.6895,51.6,5.708,,51.2,5.716,5.89999,54.6,5.712,,52.9,5.732,181.958,41.5,5.692,,44.2,5.732,11.1847,41.6,5.692,,43.4,5.692,11.3863
,,,,,,11.0162,,,,,,12.2628,,,,,,13.4756,,,,,,11.6226,49.9,5.712,,50.2,5.716,5.76533,53.6,5.716,,52.4,5.736,144.703,41.1,5.696,,43.9,5.736,11.2517,40.9,5.692,,42.2,5.696,11.2855
,,,,,,10.9485,,,,,,12.2628,,,,,,13.4086,,,,,,11.7242,49.4,5.712,,49.7,5.716,5.76533,52.7,5.716,,51.6,5.74,128.748,40.9,5.7,,43,5.736,10.7808,40.5,5.696,,41.5,5.7,11.3533
,,,,,,10.9485,,,,,,12.1951,,,,,,13.4425,,,,,,11.4541,49.2,5.712,,49.1,5.716,5.73146,52.5,5.72,,51.5,5.74,111.03,40.8,5.696,,43.1,5.74,10.9823,40.3,5.696,,41.5,5.7,11.1847
