Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
0.5,5.964,-64.589,0.2,5.972,-65.7411,0.2,5.972,-68.695,0.1,5.976,-65.6754,0.4,5.976,-65.576,0.3,5.972,-61.4011,0.0,5.972,-62.651,0.5,5.976,-62.4868,0.2,5.956,-66.5295,0.2,5.968,-62.814,0.0,5.964,-64.098,,,-63.198,0.0,5.952,-60.1833,,,-61.312,0.5,5.952,-57.7459,0.0,5.964,-61.5
0.4,5.964,-64.655,0.2,5.972,-65.8068,0.2,5.972,-69.23,-0.1,5.976,-65.774,0.0,5.972,-65.631,0.3,5.972,-61.434,0.0,5.972,-62.684,0.2,5.972,-62.5196,-0.1,5.956,-66.5623,,,-63.263,-0.1,5.964,-64.1309,0.1,5.964,-63.275,0.1,5.952,-60.2491,0.5,5.968,-61.345,0.4,5.952,-57.8119,-0.2,5.96,-61.549
0.2,5.964,-64.72,0.2,5.968,-65.9054,0.1,5.972,-69.318,-0.1,5.972,-65.8068,0.0,5.972,-65.696,0.5,5.972,-61.4669,0.4,5.972,-62.706,0.3,5.972,-62.5526,0.4,5.956,-66.5952,0.3,5.968,-63.296,0.3,5.968,-64.1309,0.3,5.964,-63.286,0.3,5.952,-60.3149,0.2,5.972,-61.378,0.2,5.952,-57.8448,0.5,5.964,-61.565
0.4,5.964,-64.983,0.3,5.972,-65.9054,0.0,5.976,-69.373,-0.3,5.976,-65.9383,0.2,5.972,-65.784,0.2,5.968,-61.4998,0.2,5.976,-62.728,0.4,5.972,-62.5854,0.2,5.96,-66.6279,0.1,5.968,-63.307,,,-64.5911,0.2,5.964,-63.319,0.2,5.952,-60.3478,0.5,5.972,-61.422,,,-58.4378,0.6,5.964,-61.615
0.1,5.964,-65.082,0.1,5.968,-66.0039,0.2,5.972,-69.405,0.1,5.976,-65.9383,0.4,5.972,-67.47,0.2,5.972,-61.5326,0.4,5.968,-62.761,0.5,5.972,-62.6183,0.5,5.96,-66.6279,0.0,5.968,-63.351,0.6,5.964,-64.6239,0.3,5.964,-63.34,,,-61.4998,,,-61.916,0.3,5.952,-58.5037,0.3,5.964,-61.648
0.2,5.964,-65.164,0.0,5.972,-66.1353,0.1,5.976,-69.416,0.2,5.976,-66.0039,0.1,5.972,-67.612,0.1,5.972,-61.5656,0.3,5.972,-62.793,0.1,5.972,-62.6512,0.2,5.956,-66.6609,0.3,5.964,-63.384,0.3,5.968,-64.6567,0.1,5.964,-63.351,0.0,5.956,-61.5326,0.4,5.968,-61.938,0.2,5.952,-58.5367,0.5,5.964,-61.697
0.2,5.964,-65.279,0.1,5.972,-66.1353,0.2,5.972,-69.482,0.2,5.976,-65.971,-0.1,5.972,-67.623,0.3,5.972,-61.5985,0.1,5.972,-62.826,0.2,5.972,-62.684,,,-67.1205,0.2,5.968,-63.416,0.2,5.968,-64.6567,0.4,5.964,-63.406,0.2,5.956,-61.5985,0.3,5.972,-61.96,0.1,5.952,-58.6026,0.3,5.96,-61.73
0.2,5.964,-66.083,-0.2,5.972,-66.1025,0.0,5.972,-69.537,0.0,5.976,-66.1025,0.1,5.976,-67.667,0.3,5.972,-61.6314,0.2,5.972,-62.848,0.4,5.972,-62.717,0.5,5.956,-67.1534,0.2,5.964,-63.438,-0.1,5.968,-64.7225,-0.1,5.968,-63.417,-0.1,5.952,-61.6314,0.3,5.968,-62.003,0.3,5.956,-58.6684,,,-62.421
0.2,5.964,-66.165,0.2,5.968,-66.1353,0.2,5.976,-69.569,-0.1,5.98,-66.1025,0.0,5.972,-67.732,0.3,5.972,-61.6643,0.0,5.976,-62.881,0.3,5.972,-62.7499,0.2,5.96,-67.1863,0.2,5.964,-63.471,0.2,5.968,-64.7225,0.1,5.964,-63.439,0.3,5.956,-61.6971,0.4,5.972,-62.036,0.3,5.952,-58.7342,0.0,5.964,-62.503
0.2,5.964,-66.198,0.0,5.972,-66.2994,0.2,5.976,-69.613,0.1,5.976,-66.1025,0.2,5.972,-67.776,0.1,5.972,-61.8617,0.0,5.972,-62.914,0.3,5.968,-62.7828,0.3,5.956,-67.1863,,,-64.074,0.5,5.964,-64.7554,0.2,5.968,-63.472,0.2,5.956,-61.8288,0.2,5.972,-62.08,0.5,5.952,-58.7672,0.1,5.964,-62.536
0.1,5.964,-66.33,0.1,5.972,-66.2339,0.0,5.976,-69.657,0.1,5.976,-66.2668,0.1,5.972,-67.864,0.2,5.972,-61.9276,0.0,5.972,-62.936,0.4,5.972,-62.8157,0.4,5.96,-67.1863,-0.1,5.968,-64.107,0.3,5.964,-64.7882,0.3,5.964,-63.483,0.1,5.952,-61.8617,0.3,5.972,-62.124,0.3,5.952,-58.8002,0.5,5.964,-62.569
0.1,5.964,-66.428,0.1,5.972,-66.3981,0.0,5.972,-70.247,-0.1,5.976,-66.3652,0.1,5.972,-67.885,0.2,5.968,-61.9933,-0.3,5.972,-62.969,0.2,5.972,-62.8485,0.1,5.956,-67.2191,0.3,5.964,-64.129,,,-65.3797,0.4,5.968,-63.538,,,-62.4868,0.1,5.972,-62.157,0.5,5.956,-58.8661,0.2,5.964,-62.602
0.3,5.964,-66.477,0.2,5.972,-66.3652,0.0,5.976,-70.28,-0.3,5.976,-66.2668,-0.1,5.976,-67.94,0.4,5.972,-62.0261,0.2,5.976,-63.002,0.3,5.972,-62.8815,0.1,5.964,-67.2519,0.4,5.968,-64.151,0.1,5.968,-65.4126,0.2,5.964,-63.549,0.2,5.956,-62.5526,,,-62.804,,,-59.9528,0.0,5.964,-62.635
0.3,5.964,-67.495,0.3,5.972,-66.4309,0.4,5.972,-70.313,0.0,5.976,-66.3652,-0.1,5.976,-67.962,0.3,5.972,-62.6183,0.2,5.972,-63.035,0.1,5.972,-62.9144,0.3,5.956,-67.2519,-0.1,5.968,-64.195,0.2,5.968,-65.4455,0.4,5.964,-63.593,-0.1,5.956,-62.5526,0.2,5.972,-62.859,0.4,5.956,-59.9857,0.0,5.964,-62.667
0.1,5.964,-67.561,0.1,5.972,-66.4967,0.0,5.976,-70.378,0.2,5.976,-66.4309,0.1,5.972,-68.05,0.2,5.972,-62.717,0.1,5.968,-63.067,0.3,5.972,-62.9801,0.1,5.96,-67.2847,0.5,5.968,-64.206,0.1,5.964,-65.4782,0.2,5.968,-64.031,0.3,5.956,-62.6512,0.4,5.972,-62.903,0.4,5.956,-60.0186,0.3,5.964,-62.684
0.1,5.964,-67.643,0.1,5.972,-66.5295,0.2,5.976,-70.4,-0.1,5.976,-66.5295,0.5,5.972,-68.082,0.4,5.972,-62.7499,0.2,5.972,-63.111,0.4,5.968,-63.1774,0.1,5.96,-67.3176,0.1,5.968,-64.239,-0.1,5.968,-65.4782,0.2,5.968,-64.075,0.2,5.956,-62.6512,0.3,5.968,-62.936,0.3,5.956,-60.0515,0.1,5.964,-62.717
0.3,5.964,-67.758,0.2,5.972,-66.5295,0.2,5.972,-70.422,0.0,5.98,-66.5295,-0.2,5.972,-68.115,0.1,5.976,-62.8485,-0.1,5.972,-63.166,0.4,5.968,-63.2432,0.5,5.964,-67.3176,0.2,5.968,-64.25,0.3,5.968,-65.5112,0.4,5.968,-64.064,0.3,5.956,-62.684,0.2,5.972,-62.957,0.3,5.956,-60.1174,0.2,5.964,-62.75
-0.3,5.968,-67.757,0.3,5.968,-66.6609,0.1,5.976,-70.488,-0.2,5.98,-66.5952,0.2,5.972,-68.214,0.0,5.972,-62.9144,0.2,5.972,-63.385,0.4,5.972,-63.2761,0.3,5.964,-67.3504,0.1,5.968,-64.293,0.2,5.968,-65.544,0.0,5.964,-64.086,0.2,5.952,-62.717,0.2,5.972,-62.99,0.5,5.956,-60.2491,0.0,5.964,-62.783
