Timestamp,Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
09-27-2025-Sat 11-59-45-AM,09-27-2025-Sat 11-59-45-AM,82.4,5.612,12.164,104.1,5.612,15.5672,96.7,5.608,14.23,96.0,5.652,15.3979,90.3,5.584,14.679,96.9,5.624,16.4106,93.6,5.576,15.41,94.5,5.572,16.4776,80.2,5.604,8.76007,94.6,5.604,12.017,83.0,5.608,11.7242,88.2,5.648,13.117,85.0,5.572,12.229,87.9,5.632,13.993,91.3,5.56,13.3409,77.4,5.568,14.909
09-27-2025-Sat 11-59-47-AM,09-27-2025-Sat 11-59-47-AM,81.5,5.612,12.062,102.9,5.608,15.4995,95.4,5.608,14.14,94.8,5.652,15.2632,89.2,5.58,14.601,95.7,5.62,16.4106,92.0,5.572,15.275,93.7,5.568,16.309,79.4,5.604,8.62542,93.7,5.604,11.927,83.1,5.608,11.6564,88.1,5.648,13.016,83.5,5.576,12.1282,87.6,5.628,13.881,89.8,5.56,13.1054,75.9,5.568,14.707
09-27-2025-Sat 11-59-50-AM,09-27-2025-Sat 11-59-50-AM,80.5,5.612,12.029,101.7,5.608,15.5333,94.4,5.612,14.14,94.1,5.648,15.2971,89.2,5.584,14.522,94.8,5.624,16.2752,91.4,5.576,15.309,93.1,5.572,16.4106,78.6,5.6,8.52462,93.7,5.6,11.882,82.9,5.604,11.5887,87.2,5.644,12.96,82.7,5.568,11.9935,87.5,5.628,13.836,88.9,5.56,13.2401,75.1,5.564,14.825
09-27-2025-Sat 11-59-52-AM,09-27-2025-Sat 11-59-52-AM,79.9,5.608,11.961,100.8,5.608,15.3979,93.7,5.608,14.016,93.3,5.648,15.1955,88.3,5.584,14.398,94.6,5.62,16.1736,90.5,5.572,15.129,92.7,5.572,16.2082,78.2,5.604,8.52462,93.5,5.604,11.792,83.0,5.608,11.4541,87.5,5.648,12.825,82.1,5.58,11.825,87.3,5.632,13.667,88.3,5.564,13.0038,75.0,5.572,14.606
09-27-2025-Sat 11-59-54-AM,09-27-2025-Sat 11-59-54-AM,79.6,5.612,11.894,100.5,5.612,15.4317,93.7,5.616,13.982,93.1,5.656,15.0947,88.4,5.592,14.387,94.6,5.624,16.1405,90.2,5.58,15.039,92.4,5.572,16.0728,78.2,5.608,8.3561,93.4,5.608,11.736,83.5,5.612,11.4202,87.6,5.656,12.814,81.9,5.58,11.9258,87.2,5.636,13.656,88.1,5.568,12.903,74.5,5.576,14.488
09-27-2025-Sat 12-00-02-PM,09-27-2025-Sat 12-00-02-PM,78.6,5.62,11.658,99.9,5.62,15.2293,92.8,5.62,13.746,92.8,5.66,14.8923,88.2,5.596,14.139,94.2,5.628,15.9712,89.8,5.584,14.87,91.4,5.58,15.8365,77.7,5.612,8.08678,92.4,5.616,11.478,83.7,5.62,11.117,87.7,5.656,12.521,81.2,5.584,11.5548,86.6,5.64,13.443,87.0,5.576,12.8023,73.9,5.576,14.319
09-27-2025-Sat 12-00-04-PM,09-27-2025-Sat 12-00-04-PM,78.4,5.62,11.54,99.7,5.624,15.1624,92.7,5.62,13.668,92.5,5.664,14.7907,88.3,5.596,13.994,94.1,5.636,15.7357,90.0,5.588,14.825,91.1,5.584,15.8026,77.6,5.612,7.91826,92.3,5.612,11.377,84.1,5.616,11.0501,87.3,5.656,12.432,80.9,5.584,11.4541,86.6,5.64,13.376,87.0,5.576,12.9369,73.4,5.58,14.37
09-27-2025-Sat 12-00-07-PM,09-27-2025-Sat 12-00-07-PM,77.9,5.628,11.439,99.3,5.624,15.0608,92.1,5.624,13.623,92.0,5.668,14.7907,88.0,5.6,13.926,94.3,5.632,15.8026,89.9,5.588,14.656,90.7,5.584,15.7688,77.5,5.616,7.81746,92.0,5.616,11.298,83.6,5.62,11.0162,87.5,5.66,12.331,80.5,5.584,11.1847,86.0,5.644,13.128,87.0,5.58,12.3975,73.1,5.584,14.083
09-27-2025-Sat 12-00-09-PM,09-27-2025-Sat 12-00-09-PM,77.1,5.624,11.338,98.8,5.624,14.8923,91.9,5.624,13.499,92.1,5.664,14.6899,88.0,5.6,13.814,94.0,5.632,15.6003,89.7,5.592,14.623,90.4,5.588,15.7357,77.3,5.616,7.7836,91.6,5.624,11.197,83.8,5.62,10.9154,87.5,5.664,12.252,80.6,5.592,11.1509,86.0,5.648,13.094,87.0,5.58,12.5321,73.2,5.584,14.134
09-27-2025-Sat 12-00-11-PM,09-27-2025-Sat 12-00-11-PM,77.2,5.628,11.288,98.8,5.628,14.8923,92.0,5.628,13.454,92.1,5.668,14.6222,88.2,5.604,13.814,94.1,5.636,15.5672,89.9,5.592,14.578,90.4,5.592,15.4995,77.3,5.62,7.68281,91.5,5.624,11.141,84.1,5.624,10.8477,87.4,5.66,12.241,80.5,5.592,11.2517,86.0,5.648,13.162,86.6,5.58,12.6676,73.2,5.584,14.084
