Timestamp,60pct Cell 1 Temp,60pct Cell 3 Temp,60pct Cell 5 Temp,55pct Cell 7 Temp,55pct Cell 10 Temp,55pct Cell 12 Temp,45pct Cell 14 Temp,40pct Cell 16 Temp
11-07-2025-Fri 14-43-16-PM,18.148,17.827,18.683,19.234,17.94,18.379,19.324,19.634
11-07-2025-Fri 14-43-19-PM,18.199,17.873,18.694,19.234,17.974,18.39,19.324,19.634
11-07-2025-Fri 14-43-21-PM,18.132,17.794,18.649,19.234,17.929,18.345,19.313,19.634
11-07-2025-Fri 14-43-24-PM,18.131,17.805,18.683,19.234,17.929,18.379,19.324,19.634
11-07-2025-Fri 14-43-26-PM,18.148,17.839,18.705,19.246,17.94,18.402,19.324,19.651
11-07-2025-Fri 14-43-28-PM,18.132,17.805,18.672,19.246,17.929,18.368,19.324,19.651
11-07-2025-Fri 14-43-31-PM,18.199,17.895,18.727,19.257,17.985,18.424,19.336,19.651
11-07-2025-Fri 14-43-34-PM,18.199,17.873,18.694,19.246,17.985,18.402,19.324,19.651
11-07-2025-Fri 14-43-36-PM,18.216,17.873,18.705,19.246,17.996,18.413,19.336,19.651
11-07-2025-Fri 14-43-38-PM,18.182,17.85,18.694,19.257,17.974,18.39,19.336,19.651
11-07-2025-Fri 14-43-41-PM,18.216,17.861,18.694,19.257,17.996,18.402,19.336,19.668
11-07-2025-Fri 14-43-43-PM,18.165,17.85,18.716,19.268,17.963,18.413,19.347,19.668
11-07-2025-Fri 14-43-46-PM,18.199,17.861,18.705,19.268,17.985,18.402,19.347,19.668
11-07-2025-Fri 14-43-48-PM,18.216,17.895,18.716,19.268,17.996,18.413,19.324,19.668
11-07-2025-Fri 14-43-51-PM,18.216,17.895,18.717,19.291,18.019,18.424,19.358,19.685
11-07-2025-Fri 14-43-53-PM,18.182,17.85,18.694,19.279,17.985,18.401,19.347,19.685
11-07-2025-Fri 14-43-55-PM,18.182,17.839,18.672,19.257,17.985,18.39,19.324,19.668
11-07-2025-Fri 14-43-58-PM,18.216,17.872,18.705,19.279,18.007,18.413,19.358,19.685
11-07-2025-Fri 14-44-00-PM,18.199,17.873,18.728,19.291,18.007,18.435,19.37,19.685
11-07-2025-Fri 14-44-02-PM,18.233,17.895,18.716,19.268,18.019,18.424,19.336,19.668
11-07-2025-Fri 14-44-05-PM,18.233,17.906,18.739,19.28,18.03,18.447,19.358,19.668
11-07-2025-Fri 14-44-07-PM,18.216,17.873,18.728,19.302,18.019,18.435,19.37,19.702
11-07-2025-Fri 14-44-10-PM,18.249,17.929,18.716,19.291,18.053,18.447,19.347,19.702
11-07-2025-Fri 14-44-12-PM,18.266,17.94,18.75,19.302,18.064,18.458,19.369,19.685
11-07-2025-Fri 14-44-14-PM,18.249,17.94,18.75,19.302,18.064,18.48,19.37,19.702
11-07-2025-Fri 14-44-17-PM,18.283,17.94,18.75,19.313,18.064,18.458,19.381,19.719
11-07-2025-Fri 14-44-19-PM,18.334,17.996,18.75,19.302,18.12,18.48,19.37,19.702
11-07-2025-Fri 14-44-21-PM,18.266,17.94,18.761,19.313,18.064,18.469,19.381,19.702
11-07-2025-Fri 14-44-24-PM,18.3,17.974,18.75,19.313,18.098,18.469,19.369,19.702
11-07-2025-Fri 14-44-26-PM,18.3,17.94,18.739,19.313,18.086,18.447,19.381,19.702
11-07-2025-Fri 14-44-29-PM,18.3,17.963,18.761,19.313,18.086,18.469,19.381,19.702
11-07-2025-Fri 14-44-31-PM,18.283,17.985,18.784,19.324,18.098,18.514,19.381,19.718
11-07-2025-Fri 14-44-33-PM,18.283,17.974,18.784,19.313,18.098,18.514,19.381,19.701
11-07-2025-Fri 14-44-36-PM,18.351,17.996,18.739,19.313,18.143,18.481,19.37,19.718
11-07-2025-Fri 14-44-38-PM,18.317,17.963,18.75,19.324,18.12,18.481,19.392,19.718
11-07-2025-Fri 14-44-40-PM,18.317,17.985,18.761,19.324,18.12,18.492,19.381,19.718
11-07-2025-Fri 14-44-43-PM,18.351,17.985,18.773,19.324,18.143,18.503,19.403,19.719
11-07-2025-Fri 14-44-45-PM,18.283,18.008,18.795,19.324,18.109,18.537,19.381,19.718
11-07-2025-Fri 14-44-47-PM,18.317,17.996,18.795,19.335,18.109,18.514,19.403,19.735
11-07-2025-Fri 14-44-50-PM,18.351,18.008,18.773,19.335,18.143,18.503,19.392,19.735
11-07-2025-Fri 14-44-52-PM,18.385,18.064,18.818,19.335,18.166,18.548,19.403,19.735
11-07-2025-Fri 14-44-55-PM,18.351,18.019,18.795,19.347,18.143,18.514,19.403,19.735
11-07-2025-Fri 14-44-57-PM,18.351,18.008,18.784,19.347,18.154,18.514,19.403,19.735
11-07-2025-Fri 14-44-59-PM,18.402,18.042,18.784,19.347,18.188,18.514,19.392,19.735
11-07-2025-Fri 14-45-02-PM,18.334,18.008,18.795,19.358,18.143,18.525,19.403,19.752
11-07-2025-Fri 14-45-04-PM,18.368,18.019,18.784,19.347,18.165,18.514,19.392,19.735
11-07-2025-Fri 14-45-07-PM,18.402,18.086,18.818,19.347,18.199,18.559,19.414,19.735
11-07-2025-Fri 14-45-09-PM,18.402,18.053,18.795,19.358,18.199,18.536,19.414,19.752
11-07-2025-Fri 14-45-12-PM,18.368,18.03,18.795,19.369,18.176,18.525,19.414,19.752
11-07-2025-Fri 14-45-14-PM,18.351,18.019,18.784,19.347,18.165,18.525,19.392,19.735
11-07-2025-Fri 14-45-16-PM,18.402,18.086,18.84,19.381,18.199,18.57,19.426,19.769
11-07-2025-Fri 14-45-19-PM,18.351,18.019,18.807,19.392,18.165,18.536,19.437,19.786
11-07-2025-Fri 14-45-21-PM,18.385,18.075,18.84,19.381,18.188,18.57,19.426,19.769
11-07-2025-Fri 14-45-23-PM,18.402,18.098,18.84,19.381,18.21,18.582,19.426,19.769
11-07-2025-Fri 14-45-27-PM,18.402,18.098,18.84,19.369,18.21,18.582,19.426,19.752
11-07-2025-Fri 14-45-30-PM,18.385,18.086,18.863,19.392,18.199,18.593,19.437,19.769
11-07-2025-Fri 14-45-32-PM,18.418,18.086,18.818,19.392,18.221,18.559,19.437,19.786
11-07-2025-Fri 14-45-34-PM,18.418,18.109,18.84,19.392,18.221,18.582,19.437,19.786
11-07-2025-Fri 14-45-37-PM,18.452,18.12,18.829,19.392,18.255,18.582,19.426,19.786
11-07-2025-Fri 14-45-39-PM,18.418,18.098,18.84,19.392,18.221,18.582,19.426,19.786
11-07-2025-Fri 14-45-41-PM,18.418,18.12,18.863,19.403,18.233,18.604,19.437,19.786
11-07-2025-Fri 14-45-44-PM,18.452,18.12,18.852,19.414,18.255,18.593,19.448,19.803
11-07-2025-Fri 14-45-46-PM,18.452,18.143,18.863,19.414,18.266,18.615,19.46,19.803
11-07-2025-Fri 14-45-49-PM,18.452,18.143,18.874,19.414,18.266,18.615,19.46,19.786
11-07-2025-Fri 14-45-51-PM,18.436,18.143,18.874,19.403,18.256,18.638,19.448,19.803
11-07-2025-Fri 14-45-54-PM,18.469,18.131,18.863,19.426,18.267,18.604,19.471,19.819
11-07-2025-Fri 14-45-56-PM,18.402,18.109,18.852,19.392,18.233,18.615,19.437,19.786
11-07-2025-Fri 14-45-58-PM,18.503,18.165,18.886,19.414,18.289,18.627,19.471,19.803
11-07-2025-Fri 14-46-01-PM,18.469,18.109,18.84,19.403,18.278,18.593,19.448,19.786
11-07-2025-Fri 14-46-03-PM,18.503,18.176,18.908,19.426,18.289,18.638,19.482,19.803
11-07-2025-Fri 14-46-06-PM,18.486,18.199,18.919,19.437,18.3,18.672,19.493,19.819
11-07-2025-Fri 14-46-09-PM,18.503,18.176,18.885,19.437,18.3,18.626,19.46,19.82
11-07-2025-Fri 14-46-11-PM,18.469,18.199,18.919,19.437,18.289,18.672,19.471,19.82
11-07-2025-Fri 14-46-13-PM,18.503,18.154,18.886,19.448,18.3,18.627,19.493,19.836
11-07-2025-Fri 14-46-16-PM,18.52,18.199,18.908,19.448,18.323,18.66,19.493,19.836
11-07-2025-Fri 14-46-18-PM,18.52,18.188,18.897,19.437,18.323,18.649,19.482,19.82
11-07-2025-Fri 14-46-20-PM,18.503,18.154,18.886,19.448,18.311,18.638,19.493,19.836
11-07-2025-Fri 14-46-23-PM,18.503,18.199,18.908,19.437,18.311,18.661,19.471,19.82
11-07-2025-Fri 14-46-26-PM,18.503,18.165,18.897,19.459,18.311,18.638,19.505,19.836
11-07-2025-Fri 14-46-28-PM,18.503,18.188,18.931,19.46,18.311,18.672,19.494,19.837
11-07-2025-Fri 14-46-30-PM,18.503,18.188,18.897,19.448,18.323,18.649,19.471,19.82
11-07-2025-Fri 14-46-33-PM,18.537,18.222,18.919,19.46,18.345,18.672,19.482,19.837
11-07-2025-Fri 14-46-35-PM,18.52,18.199,18.897,19.46,18.334,18.649,19.482,19.837
11-07-2025-Fri 14-46-37-PM,18.537,18.199,18.897,19.459,18.345,18.66,19.482,19.853
11-07-2025-Fri 14-46-40-PM,18.554,18.255,18.942,19.471,18.357,18.694,19.493,19.853
11-07-2025-Fri 14-46-42-PM,18.537,18.222,18.919,19.46,18.345,18.672,19.482,19.837
11-07-2025-Fri 14-46-45-PM,18.554,18.244,18.942,19.448,18.357,18.694,19.494,19.82
11-07-2025-Fri 14-46-47-PM,18.587,18.278,18.953,19.46,18.379,18.705,19.494,19.837
11-07-2025-Fri 14-46-49-PM,18.537,18.255,18.964,19.471,18.357,18.717,19.505,19.837
11-07-2025-Fri 14-46-52-PM,18.587,18.266,18.942,19.471,18.39,18.705,19.505,19.853
11-07-2025-Fri 14-46-54-PM,18.604,18.278,18.964,19.482,18.401,18.717,19.516,19.853
11-07-2025-Fri 14-46-56-PM,18.57,18.267,18.976,19.482,18.379,18.728,19.516,19.853
11-07-2025-Fri 14-46-59-PM,18.57,18.233,18.931,19.46,18.379,18.694,19.494,19.837
11-07-2025-Fri 14-47-01-PM,18.604,18.278,18.942,19.493,18.413,18.706,19.516,19.87
11-07-2025-Fri 14-47-03-PM,18.604,18.266,18.942,19.493,18.412,18.706,19.516,19.87
11-07-2025-Fri 14-47-06-PM,18.553,18.244,18.953,19.504,18.379,18.705,19.516,19.87
11-07-2025-Fri 14-47-09-PM,18.57,18.255,18.953,19.493,18.39,18.716,19.527,19.87
11-07-2025-Fri 14-47-11-PM,18.604,18.266,18.942,19.493,18.412,18.706,19.516,19.87
11-07-2025-Fri 14-47-13-PM,18.57,18.3,18.964,19.505,18.402,18.739,19.516,19.888
11-07-2025-Fri 14-47-17-PM,18.604,18.289,18.964,19.504,18.413,18.716,19.527,19.87
11-07-2025-Fri 14-47-20-PM,18.604,18.289,18.986,19.527,18.424,18.75,19.549,19.904
11-07-2025-Fri 14-47-22-PM,18.604,18.289,18.964,19.493,18.424,18.739,19.527,19.87
11-07-2025-Fri 14-47-24-PM,18.621,18.3,18.964,19.504,18.435,18.728,19.527,19.87
11-07-2025-Fri 14-47-27-PM,18.587,18.312,18.987,19.516,18.413,18.751,19.516,19.887
11-07-2025-Fri 14-47-29-PM,18.638,18.311,18.964,19.527,18.447,18.728,19.527,19.904
11-07-2025-Fri 14-47-31-PM,18.672,18.345,18.987,19.516,18.469,18.751,19.527,19.887
11-07-2025-Fri 14-47-34-PM,18.638,18.322,18.975,19.516,18.458,18.75,19.538,19.888
11-07-2025-Fri 14-47-36-PM,18.587,18.289,18.986,19.527,18.413,18.75,19.549,19.904
11-07-2025-Fri 14-47-39-PM,18.672,18.334,18.975,19.527,18.469,18.739,19.549,19.904
11-07-2025-Fri 14-47-41-PM,18.638,18.311,18.987,19.539,18.458,18.75,19.561,19.904
11-07-2025-Fri 14-47-43-PM,18.655,18.356,19.009,19.538,18.469,18.784,19.56,19.921
11-07-2025-Fri 14-47-46-PM,18.655,18.323,19.009,19.55,18.458,18.762,19.561,19.921
11-07-2025-Fri 14-47-48-PM,18.638,18.311,19.009,19.539,18.435,18.75,19.561,19.904
11-07-2025-Fri 14-47-50-PM,18.655,18.311,18.998,19.539,18.458,18.75,19.561,19.904
11-07-2025-Fri 14-47-53-PM,18.655,18.289,18.998,19.55,18.446,18.728,19.572,19.904
11-07-2025-Fri 14-47-55-PM,18.689,18.345,19.009,19.55,18.48,18.762,19.561,19.921
11-07-2025-Fri 14-47-58-PM,18.638,18.368,19.043,19.55,18.469,18.818,19.561,19.921
11-07-2025-Fri 14-48-00-PM,18.706,18.402,19.02,19.549,18.514,18.807,19.56,19.938
11-07-2025-Fri 14-48-03-PM,18.672,18.356,19.009,19.55,18.492,18.784,19.561,19.921
11-07-2025-Fri 14-48-05-PM,18.621,18.345,19.02,19.561,18.458,18.795,19.572,19.938
11-07-2025-Fri 14-48-07-PM,18.705,18.368,19.02,19.561,18.503,18.773,19.572,19.921
11-07-2025-Fri 14-48-10-PM,18.689,18.368,19.02,19.561,18.492,18.784,19.572,19.938
11-07-2025-Fri 14-48-12-PM,18.722,18.413,19.02,19.561,18.537,18.806,19.561,19.938
11-07-2025-Fri 14-48-14-PM,18.688,18.356,19.032,19.572,18.503,18.795,19.594,19.938
11-07-2025-Fri 14-48-17-PM,18.705,18.356,19.02,19.572,18.503,18.773,19.583,19.938
11-07-2025-Fri 14-48-19-PM,18.739,18.435,19.032,19.55,18.559,18.829,19.561,19.921
11-07-2025-Fri 14-48-22-PM,18.773,18.435,19.043,19.583,18.571,18.818,19.594,19.954
11-07-2025-Fri 14-48-24-PM,18.655,18.356,19.043,19.572,18.492,18.818,19.583,19.938
11-07-2025-Fri 14-48-26-PM,18.739,18.401,19.043,19.583,18.537,18.807,19.594,19.954
11-07-2025-Fri 14-48-29-PM,18.688,18.401,19.054,19.572,18.525,18.84,19.594,19.938
11-07-2025-Fri 14-48-31-PM,18.688,18.379,19.031,19.583,18.514,18.806,19.594,19.955
11-07-2025-Fri 14-48-33-PM,18.705,18.413,19.065,19.583,18.536,18.852,19.594,19.954
11-07-2025-Fri 14-48-36-PM,18.756,18.435,19.065,19.594,18.57,18.84,19.606,19.954
11-07-2025-Fri 14-48-39-PM,18.772,18.446,19.065,19.594,18.581,18.84,19.606,19.954
11-07-2025-Fri 14-48-41-PM,18.722,18.424,19.065,19.594,18.548,18.84,19.606,19.954
11-07-2025-Fri 14-48-43-PM,18.739,18.39,19.02,19.606,18.559,18.795,19.606,19.971
11-07-2025-Fri 14-48-46-PM,18.756,18.435,19.088,19.617,18.559,18.84,19.617,19.971
11-07-2025-Fri 14-48-48-PM,18.739,18.424,19.065,19.594,18.559,18.84,19.606,19.954
11-07-2025-Fri 14-48-50-PM,18.79,18.469,19.065,19.606,18.604,18.852,19.606,19.971
11-07-2025-Fri 14-48-53-PM,18.739,18.413,19.054,19.594,18.559,18.829,19.606,19.954
11-07-2025-Fri 14-48-55-PM,18.739,18.469,19.099,19.606,18.57,18.885,19.606,19.971
11-07-2025-Fri 14-48-57-PM,18.739,18.48,19.11,19.617,18.581,18.896,19.617,19.971
11-07-2025-Fri 14-49-00-PM,18.806,18.503,19.088,19.617,18.615,18.874,19.617,19.988
11-07-2025-Fri 14-49-02-PM,18.789,18.469,19.088,19.628,18.604,18.863,19.628,19.988
11-07-2025-Fri 14-49-05-PM,18.807,18.481,19.088,19.617,18.615,18.863,19.617,19.971
11-07-2025-Fri 14-49-07-PM,18.79,18.492,19.099,19.617,18.604,18.874,19.617,19.971
11-07-2025-Fri 14-49-09-PM,18.84,18.492,19.099,19.64,18.638,18.874,19.64,20.005
11-07-2025-Fri 14-49-12-PM,18.84,18.492,19.088,19.628,18.638,18.863,19.628,19.988
11-07-2025-Fri 14-49-14-PM,18.823,18.492,19.088,19.64,18.626,18.863,19.628,20.005
11-07-2025-Fri 14-49-16-PM,18.789,18.502,19.11,19.628,18.615,18.896,19.628,19.988
11-07-2025-Fri 14-49-19-PM,18.824,18.481,19.088,19.628,18.627,18.863,19.628,19.988
11-07-2025-Fri 14-49-21-PM,18.857,18.525,19.122,19.651,18.66,18.897,19.651,20.005
11-07-2025-Fri 14-49-24-PM,18.773,18.48,19.099,19.64,18.604,18.885,19.628,20.005
11-07-2025-Fri 14-49-26-PM,18.857,18.548,19.133,19.662,18.66,18.908,19.639,20.022
11-07-2025-Fri 14-49-28-PM,18.824,18.514,19.122,19.651,18.638,18.896,19.639,20.005
11-07-2025-Fri 14-49-31-PM,18.857,18.525,19.122,19.651,18.66,18.897,19.651,20.005
11-07-2025-Fri 14-49-33-PM,18.807,18.492,19.088,19.651,18.638,18.874,19.639,20.005
11-07-2025-Fri 14-49-35-PM,18.857,18.525,19.111,19.651,18.671,18.897,19.651,20.005
11-07-2025-Fri 14-49-38-PM,18.874,18.559,19.122,19.651,18.683,18.908,19.639,20.005
11-07-2025-Fri 14-49-40-PM,18.824,18.537,19.144,19.662,18.649,18.93,19.662,20.022
11-07-2025-Fri 14-49-42-PM,18.857,18.514,19.099,19.651,18.671,18.885,19.651,20.005
11-07-2025-Fri 14-49-45-PM,18.874,18.57,19.144,19.662,18.683,18.93,19.639,20.022
11-07-2025-Fri 14-49-47-PM,18.773,18.514,19.155,19.662,18.615,18.941,19.651,20.022
11-07-2025-Fri 14-49-50-PM,18.874,18.57,19.133,19.662,18.683,18.919,19.639,20.022
11-07-2025-Fri 14-49-52-PM,18.823,18.514,19.133,19.673,18.649,18.908,19.651,20.022
11-07-2025-Fri 14-49-54-PM,18.874,18.559,19.144,19.673,18.694,18.93,19.673,20.022
11-07-2025-Fri 14-49-57-PM,18.874,18.525,19.122,19.651,18.671,18.897,19.651,20.005
11-07-2025-Fri 14-49-59-PM,18.841,18.514,19.144,19.673,18.66,18.919,19.673,20.022
11-07-2025-Fri 14-50-01-PM,18.891,18.559,19.144,19.685,18.705,18.93,19.673,20.039
11-07-2025-Fri 14-50-04-PM,18.841,18.559,19.167,19.673,18.672,18.953,19.662,20.022
11-07-2025-Fri 14-50-06-PM,18.857,18.547,19.144,19.685,18.683,18.93,19.673,20.039
11-07-2025-Fri 14-50-09-PM,18.857,18.547,19.144,19.673,18.683,18.941,19.662,20.039
11-07-2025-Fri 14-50-11-PM,18.874,18.547,19.155,19.685,18.694,18.941,19.685,20.039
