timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-09T15:27:20,Index:179, DAC1:5377, 15.66PPM, DAC2:11442, 34.17PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:21,Index:180, DAC1:5585, 16.29PPM, DAC2:11586, 34.61PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:22,Index:181, DAC1:5441, 15.85PPM, DAC2:11570, 34.56PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:23,Index:182, DAC1:5329, 15.51PPM, DAC2:11570, 34.56PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:24,Index:183, DAC1:4497, 12.97PPM, DAC2:11538, 34.46PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:25,Index:184, DAC1:5553, 16.20PPM, DAC2:11586, 34.61PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:26,Index:185, DAC1:6049, 17.71PPM, DAC2:11442, 34.17PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:27:27,Index:186, DAC1:6577, 19.32PPM, DAC2:11394, 34.02PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:28,Index:187, DAC1:5585, 16.29PPM, DAC2:11426, 34.12PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:29,Index:188, DAC1:5809, 16.98PPM, DAC2:11346, 33.88PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:30,Index:189, DAC1:5841, 17.08PPM, DAC2:11410, 34.07PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:31,Index:190, DAC1:6177, 18.10PPM, DAC2:11554, 34.51PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:32,Index:191, DAC1:5825, 17.03PPM, DAC2:11538, 34.46PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:33,Index:192, DAC1:5601, 16.34PPM, DAC2:11554, 34.51PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:34,Index:193, DAC1:5297, 15.42PPM, DAC2:11554, 34.51PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:35,Index:194, DAC1:5089, 14.78PPM, DAC2:11410, 34.07PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:36,Index:195, DAC1:5777, 16.88PPM, DAC2:11234, 33.53PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:37,Index:196, DAC1:4993, 14.49PPM, DAC2:11362, 33.92PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:38,Index:197, DAC1:4881, 14.15PPM, DAC2:11202, 33.44PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:39,Index:198, DAC1:5553, 16.20PPM, DAC2:11538, 34.46PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:40,Index:199, DAC1:5505, 16.05PPM, DAC2:11586, 34.61PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:41,Index:200, DAC1:5489, 16.00PPM, DAC2:11714, 35.00PPM, DAC3:528.00, 0.86PPM
2025-12-09T15:27:42,Index:201, DAC1:5729, 16.73PPM, DAC2:11794, 35.24PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:43,Index:202, DAC1:5185, 15.07PPM, DAC2:11602, 34.66PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:44,Index:203, DAC1:5553, 16.20PPM, DAC2:11810, 35.29PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:45,Index:204, DAC1:5553, 16.20PPM, DAC2:11458, 34.22PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:46,Index:205, DAC1:5409, 15.76PPM, DAC2:11410, 34.07PPM, DAC3:320.00, 0.23PPM
2025-12-09T15:27:47,Index:206, DAC1:5073, 14.73PPM, DAC2:11330, 33.83PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:48,Index:207, DAC1:5057, 14.68PPM, DAC2:11410, 34.07PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:49,Index:208, DAC1:5313, 15.46PPM, DAC2:11394, 34.02PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:50,Index:209, DAC1:5473, 15.95PPM, DAC2:11586, 34.61PPM, DAC3:336.00, 0.28PPM
2025-12-09T15:27:51,Index:210, DAC1:5665, 16.54PPM, DAC2:11778, 35.19PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:52,Index:211, DAC1:5473, 15.95PPM, DAC2:11570, 34.56PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:53,Index:212, DAC1:5201, 15.12PPM, DAC2:11490, 34.32PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:54,Index:213, DAC1:5505, 16.05PPM, DAC2:11362, 33.92PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:55,Index:214, DAC1:5041, 14.63PPM, DAC2:11346, 33.88PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:56,Index:215, DAC1:5281, 15.37PPM, DAC2:11426, 34.12PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:58,Index:216, DAC1:5137, 14.93PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:59,Index:217, DAC1:5153, 14.98PPM, DAC2:11410, 34.07PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:28:00,Index:218, DAC1:5041, 14.63PPM, DAC2:11602, 34.66PPM, DAC3:528.00, 0.86PPM
2025-12-09T15:28:01,Index:219, DAC1:4753, 13.76PPM, DAC2:11570, 34.56PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:28:02,Index:220, DAC1:5009, 14.54PPM, DAC2:11570, 34.56PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:28:03,Index:221, DAC1:4609, 13.32PPM, DAC2:11522, 34.41PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:28:04,Index:222, DAC1:5217, 15.17PPM, DAC2:11490, 34.32PPM, DAC3:608.00, 1.11PPM
2025-12-09T15:28:05,Index:223, DAC1:5025, 14.59PPM, DAC2:11394, 34.02PPM, DAC3:528.00, 0.86PPM
2025-12-09T15:28:06,Index:224, DAC1:5025, 14.59PPM, DAC2:11330, 33.83PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:28:07,Index:225, DAC1:4673, 13.51PPM, DAC2:11506, 34.36PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:28:08,Index:226, DAC1:4369, 12.58PPM, DAC2:11602, 34.66PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:28:09,Index:227, DAC1:5201, 15.12PPM, DAC2:11554, 34.51PPM, DAC3:560.00, 0.96PPM
2025-12-09T15:28:10,Index:228, DAC1:4785, 13.85PPM, DAC2:11538, 34.46PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:28:11,Index:229, DAC1:5633, 16.44PPM, DAC2:11586, 34.61PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:28:12,Index:230, DAC1:4689, 13.56PPM, DAC2:11522, 34.41PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:28:13,Index:231, DAC1:5521, 16.10PPM, DAC2:11410, 34.07PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:28:56,Index:232, DAC1:5633, 16.44PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:28:57,Index:275, DAC1:6161, 18.05PPM, DAC2:11602, 34.66PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:28:58,Index:276, DAC1:6065, 17.76PPM, DAC2:11474, 34.27PPM, DAC3:544.00, 0.91PPM
2025-12-09T15:28:59,Index:277, DAC1:5889, 17.22PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:29:00,Index:278, DAC1:6289, 18.44PPM, DAC2:11362, 33.92PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:29:01,Index:279, DAC1:6289, 18.44PPM, DAC2:11362, 33.92PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:02,Index:280, DAC1:6337, 18.59PPM, DAC2:11458, 34.22PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:29:03,Index:281, DAC1:7217, 21.27PPM, DAC2:11666, 34.85PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:29:04,Index:282, DAC1:6385, 18.74PPM, DAC2:11666, 34.85PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:05,Index:283, DAC1:5793, 16.93PPM, DAC2:11650, 34.80PPM, DAC3:496.00, 0.76PPM
2025-12-09T15:29:06,Index:284, DAC1:6049, 17.71PPM, DAC2:11458, 34.22PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:29:07,Index:285, DAC1:6465, 18.98PPM, DAC2:11378, 33.97PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:29:08,Index:286, DAC1:6353, 18.64PPM, DAC2:11346, 33.88PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:09,Index:287, DAC1:6097, 17.86PPM, DAC2:11346, 33.88PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:10,Index:288, DAC1:6145, 18.00PPM, DAC2:11442, 34.17PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:50,Index:289, DAC1:5521, 16.10PPM, DAC2:11442, 34.17PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:29:51,Index:290, DAC1:5841, 17.08PPM, DAC2:11586, 34.61PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:52,Index:329, DAC1:6513, 19.13PPM, DAC2:11538, 34.46PPM, DAC3:640.00, 1.20PPM
2025-12-09T15:29:53,Index:330, DAC1:6545, 19.22PPM, DAC2:11474, 34.27PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:29:54,Index:331, DAC1:6529, 19.18PPM, DAC2:11362, 33.92PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:29:55,Index:332, DAC1:6785, 19.96PPM, DAC2:11378, 33.97PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:29:56,Index:333, DAC1:6817, 20.05PPM, DAC2:11346, 33.88PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:29:57,Index:334, DAC1:6593, 19.37PPM, DAC2:11362, 33.92PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:29:58,Index:335, DAC1:6929, 20.40PPM, DAC2:11570, 34.56PPM, DAC3:464.00, 0.67PPM
