timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-07T17:46:09,Index:480, DAC1:400, 0.47PPM, DAC2:384, 0.42PPM, DAC3:496.00, 0.76PPM
2025-12-07T17:46:10,Index:481, DAC1:384, 0.42PPM, DAC2:384, 0.42PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:11,Index:482, DAC1:416, 0.52PPM, DAC2:416, 0.52PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:46:12,Index:483, DAC1:464, 0.67PPM, DAC2:384, 0.42PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:13,Index:484, DAC1:432, 0.57PPM, DAC2:384, 0.42PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:14,Index:485, DAC1:384, 0.42PPM, DAC2:384, 0.42PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:15,Index:486, DAC1:416, 0.52PPM, DAC2:400, 0.47PPM, DAC3:320.00, 0.23PPM
2025-12-07T17:46:16,Index:487, DAC1:448, 0.62PPM, DAC2:384, 0.42PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:17,Index:488, DAC1:400, 0.47PPM, DAC2:416, 0.52PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:18,Index:489, DAC1:416, 0.52PPM, DAC2:384, 0.42PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:19,Index:490, DAC1:432, 0.57PPM, DAC2:400, 0.47PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:20,Index:491, DAC1:448, 0.62PPM, DAC2:416, 0.52PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:21,Index:492, DAC1:432, 0.57PPM, DAC2:400, 0.47PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:46:22,Index:493, DAC1:400, 0.47PPM, DAC2:416, 0.52PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:23,Index:494, DAC1:384, 0.42PPM, DAC2:464, 0.67PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:46:24,Index:495, DAC1:400, 0.47PPM, DAC2:400, 0.47PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:25,Index:496, DAC1:416, 0.52PPM, DAC2:400, 0.47PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:26,Index:497, DAC1:400, 0.47PPM, DAC2:416, 0.52PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:46:27,Index:498, DAC1:384, 0.42PPM, DAC2:400, 0.47PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:28,Index:499, DAC1:448, 0.62PPM, DAC2:432, 0.57PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:29,Index:500, DAC1:512, 0.81PPM, DAC2:400, 0.47PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:30,Index:501, DAC1:432, 0.57PPM, DAC2:400, 0.47PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:31,Index:502, DAC1:416, 0.52PPM, DAC2:432, 0.57PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:46:32,Index:503, DAC1:416, 0.52PPM, DAC2:416, 0.52PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:33,Index:504, DAC1:448, 0.62PPM, DAC2:560, 0.96PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:34,Index:505, DAC1:448, 0.62PPM, DAC2:496, 0.76PPM, DAC3:512.00, 0.81PPM
2025-12-07T17:46:35,Index:506, DAC1:416, 0.52PPM, DAC2:592, 1.06PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:36,Index:507, DAC1:400, 0.47PPM, DAC2:608, 1.11PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:37,Index:508, DAC1:336, 0.28PPM, DAC2:736, 1.50PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:38,Index:509, DAC1:384, 0.42PPM, DAC2:480, 0.71PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:39,Index:510, DAC1:352, 0.32PPM, DAC2:336, 0.28PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:40,Index:511, DAC1:432, 0.57PPM, DAC2:528, 0.86PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:46:41,Index:512, DAC1:416, 0.52PPM, DAC2:608, 1.11PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:46:42,Index:513, DAC1:416, 0.52PPM, DAC2:432, 0.57PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:43,Index:514, DAC1:432, 0.57PPM, DAC2:10514, 31.34PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:44,Index:515, DAC1:432, 0.57PPM, DAC2:11330, 33.83PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:46:45,Index:516, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:46,Index:517, DAC1:464, 0.67PPM, DAC2:11266, 33.63PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:47,Index:518, DAC1:480, 0.71PPM, DAC2:11282, 33.68PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:48,Index:519, DAC1:432, 0.57PPM, DAC2:11298, 33.73PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:46:49,Index:520, DAC1:384, 0.42PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:50,Index:521, DAC1:400, 0.47PPM, DAC2:11218, 33.49PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:51,Index:522, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:46:52,Index:523, DAC1:384, 0.42PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:53,Index:524, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:46:54,Index:525, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:46:55,Index:526, DAC1:416, 0.52PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:46:56,Index:527, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:46:57,Index:528, DAC1:416, 0.52PPM, DAC2:11218, 33.49PPM, DAC3:496.00, 0.76PPM
2025-12-07T17:46:58,Index:529, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:46:59,Index:530, DAC1:416, 0.52PPM, DAC2:11282, 33.68PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:00,Index:531, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:47:01,Index:532, DAC1:384, 0.42PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:02,Index:533, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:03,Index:534, DAC1:352, 0.32PPM, DAC2:11330, 33.83PPM, DAC3:560.00, 0.96PPM
2025-12-07T17:47:04,Index:535, DAC1:432, 0.57PPM, DAC2:11330, 33.83PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:05,Index:536, DAC1:352, 0.32PPM, DAC2:11250, 33.58PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:06,Index:537, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:07,Index:538, DAC1:400, 0.47PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:08,Index:539, DAC1:432, 0.57PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:47:09,Index:540, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:47:10,Index:541, DAC1:432, 0.57PPM, DAC2:11330, 33.83PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:47:11,Index:542, DAC1:384, 0.42PPM, DAC2:11314, 33.78PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:47:12,Index:543, DAC1:400, 0.47PPM, DAC2:11298, 33.73PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:47:13,Index:544, DAC1:448, 0.62PPM, DAC2:11378, 33.97PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:47:14,Index:545, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:512.00, 0.81PPM
2025-12-07T17:47:15,Index:546, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
