Timestamp,DNEpct Cell 1 Temp,DNEpct Cell 3 Temp,DNEpct Cell 5 Temp,DNEpct Cell 7 Temp,35pct Cell 10 Temp,35pct Cell 12 Temp,30pct Cell 14 Temp,30pct Cell 16 Temp
09-05-2025-Fri 16-39-41-PM,14.489,16.22,17.344,17.367,14.309,15.792,16.455,16.748
09-05-2025-Fri 16-39-43-PM,14.388,16.14,17.31,17.31,14.218,15.747,16.411,16.681
09-05-2025-Fri 16-39-45-PM,14.337,16.096,17.265,17.277,14.174,15.702,16.377,16.647
09-05-2025-Fri 16-39-48-PM,14.236,16.017,17.232,17.22,14.072,15.646,16.332,16.579
09-05-2025-Fri 16-39-50-PM,14.168,15.927,17.153,17.175,14.016,15.578,16.287,16.545
09-05-2025-Fri 16-39-52-PM,14.151,15.916,17.119,17.131,13.982,15.534,16.242,16.495
09-05-2025-Fri 16-39-55-PM,14.101,15.871,17.097,17.074,13.926,15.5,16.208,16.428
09-05-2025-Fri 16-39-57-PM,14.034,15.814,17.04,17.04,13.87,15.443,16.163,16.394
09-05-2025-Fri 16-40-00-PM,13.932,15.758,17.018,16.995,13.78,15.409,16.118,16.343
09-05-2025-Fri 16-40-02-PM,13.882,15.713,16.984,16.95,13.735,15.376,16.084,16.292
09-05-2025-Fri 16-40-04-PM,13.814,15.612,16.905,16.894,13.668,15.297,16.028,16.242
09-05-2025-Fri 16-40-07-PM,13.848,15.646,16.894,16.861,13.668,15.264,15.995,16.191
09-05-2025-Fri 16-40-09-PM,13.781,15.624,16.894,16.816,13.612,15.264,15.961,16.141
09-05-2025-Fri 16-40-11-PM,13.679,15.533,16.838,16.759,13.521,15.207,15.916,16.09
09-05-2025-Fri 16-40-14-PM,13.68,15.511,16.793,16.737,13.499,15.14,15.893,16.057
09-05-2025-Fri 16-40-16-PM,13.578,15.41,16.748,16.692,13.42,15.095,15.86,16.006
09-05-2025-Fri 16-40-18-PM,13.544,15.409,16.725,16.636,13.376,15.072,15.803,15.955
09-05-2025-Fri 16-40-21-PM,13.528,15.354,16.669,16.602,13.342,14.994,15.759,15.905
09-05-2025-Fri 16-40-24-PM,13.443,15.275,16.624,16.535,13.263,14.949,15.713,15.837
09-05-2025-Fri 16-40-26-PM,13.359,15.264,16.579,16.647,13.219,14.893,15.759,15.972
09-05-2025-Fri 16-40-28-PM,13.376,15.219,16.568,16.557,13.185,14.882,15.702,15.905
09-05-2025-Fri 16-40-31-PM,13.343,15.185,16.602,16.467,13.151,14.882,15.691,15.736
09-05-2025-Fri 16-40-33-PM,13.326,15.129,16.601,16.478,13.106,14.859,15.758,15.77
09-05-2025-Fri 16-40-36-PM,13.258,15.129,16.545,16.512,13.072,14.825,15.713,15.837
09-05-2025-Fri 16-40-38-PM,13.207,15.095,16.534,16.523,13.039,14.803,15.724,15.837
09-05-2025-Fri 16-40-40-PM,13.174,15.039,16.467,16.332,12.982,14.735,15.545,15.601
09-05-2025-Fri 16-40-43-PM,13.14,15.039,16.455,16.287,12.96,14.735,15.5,15.551
09-05-2025-Fri 16-40-45-PM,13.073,14.972,16.399,16.231,12.904,14.679,15.455,15.483
09-05-2025-Fri 16-40-50-PM,13.022,14.915,16.354,16.197,12.847,14.623,15.421,15.449
09-05-2025-Fri 16-40-55-PM,12.921,14.859,16.287,16.095,12.758,14.567,15.331,15.347
09-05-2025-Fri 16-40-57-PM,12.887,14.814,16.219,15.994,12.701,14.488,15.252,15.23
09-05-2025-Fri 16-41-00-PM,12.803,14.724,16.174,15.972,12.623,14.432,15.219,15.213
09-05-2025-Fri 16-41-02-PM,12.803,14.724,16.14,15.916,12.623,14.409,15.185,15.146
09-05-2025-Fri 16-41-04-PM,12.719,14.657,16.107,15.859,12.544,14.364,15.151,15.078
09-05-2025-Fri 16-41-07-PM,12.635,14.556,16.163,15.916,12.488,14.387,15.264,15.112
09-05-2025-Fri 16-41-09-PM,12.652,14.544,16.062,15.826,12.477,14.308,15.162,15.045
09-05-2025-Fri 16-41-11-PM,12.601,14.522,16.073,15.837,12.421,14.297,15.196,15.061
09-05-2025-Fri 16-41-14-PM,12.516,14.499,16.096,15.781,12.364,14.32,15.185,14.977
09-05-2025-Fri 16-41-16-PM,12.55,14.499,16.017,15.792,12.376,14.252,15.14,15.027
09-05-2025-Fri 16-41-19-PM,12.551,14.466,15.927,15.646,12.354,14.151,14.994,14.825
09-05-2025-Fri 16-41-21-PM,12.499,14.454,15.927,15.612,12.308,14.151,14.96,14.792
09-05-2025-Fri 16-41-25-PM,12.433,14.364,15.859,15.556,12.252,14.083,14.926,14.724
09-05-2025-Fri 16-41-28-PM,12.382,14.308,15.803,15.455,12.185,14.016,14.859,14.606
09-05-2025-Fri 16-41-31-PM,12.264,14.218,15.747,15.398,12.095,13.96,14.803,14.538
09-05-2025-Fri 16-41-33-PM,12.247,14.207,15.736,15.354,12.061,13.948,14.78,14.505
09-05-2025-Fri 16-41-36-PM,12.23,14.174,15.679,15.297,12.039,13.892,14.724,14.437
09-05-2025-Fri 16-41-38-PM,12.163,14.106,15.634,15.263,11.983,13.847,14.69,14.403
09-05-2025-Fri 16-41-41-PM,12.146,14.095,15.601,15.208,11.96,13.814,14.646,14.336
09-05-2025-Fri 16-41-43-PM,12.062,14.005,15.567,15.174,11.882,13.769,14.634,14.302
09-05-2025-Fri 16-41-45-PM,12.011,13.949,15.533,15.174,11.837,13.724,14.623,14.302
09-05-2025-Fri 16-41-48-PM,12.028,13.982,15.533,15.118,11.837,13.724,14.589,14.235
09-05-2025-Fri 16-41-50-PM,11.944,13.915,15.477,15.061,11.769,13.679,14.533,14.184
09-05-2025-Fri 16-41-53-PM,11.96,13.859,15.41,15.016,11.747,13.589,14.499,14.134
09-05-2025-Fri 16-41-55-PM,11.893,13.814,15.354,14.983,11.702,13.555,14.454,14.117
09-05-2025-Fri 16-41-58-PM,11.843,13.791,15.376,14.949,11.657,13.566,14.454,14.067
09-05-2025-Fri 16-42-00-PM,11.809,13.746,15.331,14.926,11.623,13.51,14.421,14.033
09-05-2025-Fri 16-42-02-PM,11.809,13.758,15.421,15.016,11.612,13.589,14.578,14.168
09-05-2025-Fri 16-42-05-PM,11.775,13.69,15.331,14.915,11.578,13.499,14.432,14.033
