Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-68.1053,0.4,5.912,-62.333,0.1,5.912,-65.0183,0.1,5.904,-64.185,0.1,5.908,-68.368,0.0,5.916,-73.231,0.4,5.908,-70.3036,0.2,5.908,-70.615
,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.904,-68.1053,0.4,5.912,-62.322,0.2,5.912,-65.0511,0.2,5.908,-64.163,0.3,5.908,-68.368,0.2,5.916,-73.242,0.1,5.904,-70.3364,0.2,5.912,-70.648
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.9,-68.368,0.3,5.908,-62.333,0.0,5.908,-65.084,0.1,5.912,-64.218,0.3,5.908,-68.4008,0.1,5.916,-73.253,0.1,5.904,-70.3364,0.1,5.912,-70.861
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-68.368,0.5,5.912,-62.958,0.1,5.912,-65.1169,0.2,5.908,-64.196,0.1,5.908,-68.5321,0.0,5.92,-73.679,0.3,5.904,-70.3691,0.1,5.912,-70.894
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-68.4008,0.2,5.912,-63.002,0.1,5.912,-65.1169,0.3,5.912,-64.229,0.1,5.904,-68.5649,0.1,5.916,-73.701,0.0,5.904,-71.5494,0.2,5.908,-70.894
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-68.4008,0.1,5.912,-63.068,-0.1,5.912,-65.1497,0.3,5.908,-64.229,0.3,5.904,-68.5649,0.1,5.92,-73.723,0.3,5.908,-71.615,0.3,5.908,-70.926
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-68.4335,0.4,5.908,-63.111,0.1,5.912,-65.6754,0.2,5.912,-64.711,0.3,5.904,-68.8603,0.2,5.92,-73.744,0.0,5.904,-72.336,0.3,5.912,-71.975
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-69.6804,0.4,5.912,-63.166,0.3,5.912,-65.971,0.2,5.908,-64.766,0.0,5.908,-68.893,0.3,5.916,-73.755,0.1,5.904,-72.336,0.2,5.912,-72.025
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-69.7459,0.3,5.912,-63.846,0.2,5.912,-65.971,0.1,5.912,-64.755,0.2,5.904,-68.893,0.2,5.916,-73.799,0.2,5.908,-72.4015,0.3,5.908,-72.68
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-69.8116,0.2,5.912,-63.857,0.3,5.912,-65.9383,0.3,5.904,-64.766,0.2,5.904,-68.893,0.0,5.916,-73.81,0.1,5.908,-72.4015,0.4,5.912,-72.696
