Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell 9 Current,Cell 9 Voltage,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 16 Current,Cell 16 Voltage,Cell 2 Temp,Cell 4 Temp,Cell 6 Temp,Cell 8 Temp,Cell 9 Temp,Cell 11 Temp,Cell 13 Temp,Cell 15 Temp,Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
,,,,,,,,,,,,,,,,72.1,5.7,66.3,5.708,86.3,5.7,84.4,5.74,77.6,5.664,99.0,5.712,84.0,5.652,83.5,5.652,5.32829,6.00078,6.90872,5.26056,3.24391,4.25264,6.03465,5.32829,792,4.286,5.194,6.315,5.833,4.275,5.429,6.091,5.294
,,,,,,,,,,,,,,,,71.2,5.7,67.1,5.708,85.1,5.7,83.7,5.74,76.0,5.668,96.9,5.716,82.3,5.656,82.5,5.656,5.2275,6.00078,6.87566,5.32829,3.27697,4.25264,5.76533,5.32829,793,4.252,5.16,6.214,5.844,4.252,5.34,5.99,5.328
,,,,,,,,,,,,,,,,70.1,5.708,65.8,5.712,84.9,5.704,82.8,5.74,75.3,5.672,96.5,5.72,81.4,5.66,81.3,5.656,4.92432,5.6984,6.64021,4.99205,2.63915,3.78173,5.46214,4.92432,811,3.782,4.801,5.934,5.519,3.782,4.981,5.676,4.958
,,,,,,,,,,,,,,,,69.4,5.708,66.5,5.712,83.3,5.708,81.7,5.748,74.0,5.676,95.1,5.724,80.6,5.664,80.9,5.66,4.95818,5.66454,6.64021,4.99205,2.70608,3.81479,5.56374,4.85739,812,3.832,4.813,5.956,5.497,3.826,5.014,5.687,4.925
,,,,,,,,,,,,,,,,70.1,5.744,68.1,5.748,84.2,5.744,82.5,5.78,74.6,5.712,95.4,5.764,80.7,5.7,81.9,5.7,4.92432,5.66454,6.64021,5.02511,2.67221,3.714,5.52988,4.92432,813,3.798,4.768,5.945,5.53,3.77,4.969,5.698,4.975
,,,,,,,,,,,,,,,,69.2,5.704,64.8,5.716,83.5,5.704,81.8,5.744,74.5,5.676,95.3,5.724,81.0,5.668,80.4,5.664,4.38649,5.1259,6.13544,4.31956,1.96666,3.10925,4.89126,4.2857,848,3.177,4.207,5.384,4.914,3.154,4.375,5.104,4.303
,,,,,,,,,,,,,,,,68.1,5.712,65.4,5.716,81.8,5.712,80.9,5.752,72.8,5.676,92.9,5.728,78.6,5.668,79.3,5.672,4.38649,5.02511,6.1685,4.25264,2.00053,3.04232,4.95818,4.25264,849,3.194,4.151,5.384,4.891,3.143,4.342,5.126,4.253
,,,,,,,,,,,,,,,,68.3,5.748,66.9,5.756,82.2,5.748,81.1,5.784,72.5,5.716,93.1,5.764,78.8,5.708,79.4,5.708,4.38649,5.15977,6.13544,4.2857,1.9328,3.10925,4.89126,4.38649,850,3.16,4.219,5.395,4.936,3.143,4.387,5.138,4.336
,,,,,,,,,,,,,,,,65.6,5.7,63.6,5.708,80.7,5.7,79.3,5.736,72.5,5.668,92.8,5.72,79.1,5.656,77.2,5.66,3.07538,3.714,4.95818,2.97459,-0.218214,1.36271,3.54628,2.87379,913,1.429,2.717,4.073,3.602,1.407,2.874,3.793,2.924
,,,,,,,,,,,,,,,,64.4,5.704,63.8,5.712,79.2,5.7,78.7,5.74,71.0,5.672,91.3,5.72,77.4,5.664,76.5,5.664,3.07538,3.714,4.99205,3.00845,-0.184562,1.29498,3.44549,2.60528,914,1.445,2.695,4.051,3.535,1.395,2.818,3.681,2.807
,,,,,,,,,,,,,,,,63.4,5.704,63.8,5.716,78.4,5.708,77.8,5.744,70.4,5.676,89.7,5.724,76.2,5.664,75.9,5.664,2.97459,3.64707,4.92432,2.90766,-0.251791,1.32885,3.57934,2.70608,915,1.361,2.65,4.05,3.513,1.351,2.852,3.737,2.807
,,,,,,,,,,,,,,,,62.8,5.712,63.9,5.716,77.6,5.708,77.0,5.748,69.3,5.676,88.6,5.724,75.1,5.668,74.5,5.672,2.97459,3.64707,4.95818,2.90766,-0.386048,1.22725,3.61321,2.67221,916,1.294,2.616,4.073,3.513,1.272,2.829,3.748,2.79
,,,,,,,,,,,,,,,,63.2,5.744,64.5,5.752,78.5,5.744,78.0,5.78,70.1,5.716,89.3,5.76,75.8,5.704,75.3,5.704,2.97459,3.68094,4.95818,2.90766,-0.31895,1.22725,3.47855,2.47062,917,1.328,2.628,4.039,3.445,1.294,2.796,3.636,2.689
,,,,,,,,,,,,,,,,61.7,5.716,61.9,5.716,77.0,5.712,76.5,5.744,69.0,5.684,87.3,5.724,74.8,5.676,72.8,5.676,2.63915,3.37776,4.65581,2.47062,-0.788907,0.925678,3.10925,2.33597,927,0.925,2.314,3.714,3.154,0.925,2.471,3.367,2.403
,,,,,,,,,,,,,,,,61.0,5.712,61.8,5.72,76.1,5.716,75.8,5.748,68.1,5.684,86.5,5.732,73.8,5.676,72.6,5.676,2.67221,3.37776,4.68887,2.47062,-0.788907,0.925678,3.27697,2.33597,928,0.942,2.325,3.781,3.165,0.936,2.527,3.434,2.403
,,,,,,,,,,,,,,,,61.2,5.716,62.3,5.716,76.2,5.716,75.8,5.752,67.8,5.684,86.2,5.728,73.2,5.676,72.5,5.676,2.60528,3.31083,4.7566,2.43676,-0.88963,0.857945,3.07538,2.26904,929,0.858,2.258,3.714,3.154,0.858,2.415,3.367,2.353
,,,,,,,,,,,,,,,,60.7,5.716,62.9,5.716,76.0,5.716,75.4,5.752,67.5,5.688,85.7,5.736,73.2,5.676,72.4,5.676,2.63915,3.3447,4.68887,2.47062,-0.88963,0.757959,3.14311,2.26904,930,0.875,2.247,3.726,3.143,0.836,2.415,3.367,2.37
,,,,,,,,,,,,,,,,60.7,5.716,63.1,5.724,75.7,5.716,75.4,5.752,67.6,5.684,86.0,5.732,72.5,5.676,72.3,5.68,2.57142,3.3447,4.58807,2.43676,-0.956779,0.824079,3.14311,2.30291,931,0.807,2.247,3.692,3.109,0.813,2.437,3.345,2.37
,,,,,,,,,,,,,,,,61.7,5.716,63.1,5.72,76.2,5.712,76.1,5.748,69.1,5.684,88.2,5.732,75.3,5.672,72.9,5.676,1.832,2.70608,3.98332,1.66429,-1.66161,0.0532184,2.47062,1.59817,954,0.085,1.53,3.053,2.415,0.075,1.743,2.684,1.631
,,,,,,,,,,,,,,,,60.2,5.716,62.6,5.724,75.2,5.716,75.3,5.752,67.8,5.688,86.2,5.736,73.4,5.68,71.3,5.68,1.832,2.63915,4.05025,1.69815,-1.72868,0.0532184,2.47062,1.42883,955,0.052,1.508,3.053,2.392,0.052,1.721,2.65,1.563
,,,,,,,,,,,,,,,,59.8,5.72,62.3,5.724,74.2,5.72,74.8,5.756,66.7,5.688,84.8,5.736,72.1,5.68,70.6,5.684,1.9328,2.70608,4.08411,1.66429,-1.62804,0.0193522,2.30291,1.49657,956,0.152,1.553,3.031,2.415,0.108,1.676,2.628,1.58
,,,,,,,,,,,,,,,,60.8,5.716,62.4,5.724,74.4,5.72,74.8,5.756,67.8,5.688,86.8,5.736,74.0,5.676,71.4,5.68,0.656361,1.49657,2.773,0.254803,-2.86945,-1.15815,1.195,0.0532184,1018,-1.107,0.332,1.822,1.027,-1.124,0.511,1.34,0.154
,,,,,,,,,,,,,,,,59.9,5.72,61.6,5.728,73.4,5.724,73.7,5.756,66.9,5.692,85.7,5.74,72.6,5.68,70.6,5.684,0.656361,1.49657,2.87379,0.320923,-2.90308,-1.25886,1.0934,0.28867,1019,-1.123,0.298,1.821,1.161,-1.169,0.444,1.419,0.305
,,,,,,,,,,,,,,,,59.2,5.724,61.8,5.732,72.6,5.724,72.7,5.756,65.7,5.692,83.9,5.74,71.2,5.688,69.2,5.688,0.0532184,0.959544,2.33597,-0.218214,-3.23853,-1.59448,0.590241,-0.151053,1046,-1.593,-0.194,1.295,0.656,-1.593,-0.015,0.925,-0.185
,,,,,,,,,,,,,,,,57.7,5.728,60.8,5.732,71.2,5.728,72.1,5.76,65.0,5.7,81.7,5.744,69.1,5.692,67.5,5.692,0.0532184,0.959544,2.33597,-0.285374,-3.20491,-1.69504,0.490255,-0.45321,1047,-1.576,-0.227,1.262,0.532,-1.616,-0.082,0.791,-0.369
,,,,,,,,,,,,,,,,57.5,5.76,61.0,5.764,71.8,5.76,72.1,5.792,64.8,5.732,81.8,5.776,69.3,5.724,67.9,5.728,0.0532184,0.959544,2.30291,-0.184562,-3.20491,-1.69504,0.456388,-0.184562,1048,-1.576,-0.227,1.24,0.645,-1.616,-0.093,0.858,-0.185
,,,,,,,,,,,,,,,,58.0,5.724,61.1,5.732,71.4,5.728,71.5,5.76,65.6,5.696,82.5,5.744,69.7,5.688,68.1,5.692,-0.3524,0.590241,1.89974,-0.621094,-3.47332,-1.96363,0.153205,-0.486782,1071,-1.913,-0.575,0.881,0.264,-1.93,-0.407,0.522,-0.554
,,,,,,,,,,,,,,,,56.7,5.732,60.0,5.736,70.3,5.732,70.6,5.764,63.7,5.704,80.5,5.748,67.9,5.7,66.3,5.7,-0.386048,0.590241,1.96666,-0.721756,-3.47332,-1.93007,0.28867,-0.553934,1072,-1.93,-0.575,0.949,0.23,-1.93,-0.35,0.567,-0.638
,,,,,,,,,,,,,,,,56.2,5.732,59.5,5.74,69.6,5.736,70.3,5.768,62.9,5.704,79.5,5.748,67.5,5.696,66.0,5.7,-0.3524,0.490255,1.96666,-0.58752,-3.47332,-1.96363,0.0532184,-0.58752,1073,-1.913,-0.609,0.837,0.264,-1.93,-0.473,0.477,-0.588
,,,,,,,,,,,,,,,,58.5,5.728,61.2,5.736,70.9,5.728,70.9,5.768,64.9,5.7,81.9,5.748,70.0,5.692,67.8,5.692,-0.923207,0.0193522,1.39658,-1.09101,-3.77517,-2.33274,-0.386048,-1.09101,1111,-2.349,-1.079,0.343,-0.262,-2.344,-0.9,-0.027,-1.091
,,,,,,,,,,,,,,,,56.9,5.736,60.1,5.74,69.9,5.736,70.2,5.768,63.9,5.708,80.1,5.752,67.6,5.696,66.5,5.7,-0.855981,0.0532184,1.32885,-1.02379,-3.74163,-2.33274,-0.3524,-1.05743,1112,-2.299,-1.045,0.343,-0.251,-2.31,-0.877,-0.027,-1.041
,,,,,,,,,,,,,,,,56.2,5.74,59.2,5.74,68.8,5.74,69.7,5.772,62.7,5.712,78.6,5.756,66.4,5.704,65.5,5.704,-0.956779,0.0532184,1.36271,-1.05743,-3.77517,-2.36616,-0.285374,-0.956779,1113,-2.366,-1.09,0.377,-0.217,-2.366,-0.866,0.04,-1.007
