"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
88,-0.000133514404297,5310.61086433,23.3417190396
89,-0.000152587890625,5320.64982537,23.3431722563
90,-0.000152587890625,5320.64982537,23.3417190396
91,-0.000171661376953,5315.63034485,23.3460786752
92,-0.000152587890625,5325.66930589,23.3431722563
93,-0.000152587890625,5325.66930589,23.3431722563
94,-0.000171661376953,5335.70826694,23.3431722563
95,-0.000171661376953,5345.74722798,23.3431722563
96,-0.000114440917969,5360.80566955,23.3417190396
97,-0.000152587890625,5365.82515007,23.3417190396
98,-0.000171661376953,5370.8446306,23.3402658181
99,-0.000133514404297,5390.92255269,23.3417190396
100,-0.000133514404297,5395.94203321,23.3446254682
101,-0.000152587890625,5400.96151373,23.3431722563
102,-0.000171661376953,5405.98099426,23.3431722563
103,-0.000133514404297,5416.0199553,23.3417190396
104,-0.000152587890625,5431.07839687,23.3417190396
105,-0.000152587890625,5441.11735791,23.3402658181
106,-0.000152587890625,5451.15631896,23.3431722563
107,-0.000133514404297,5466.21476053,23.3417190396
108,-0.000152587890625,5476.25372157,23.3417190396
109,-0.000171661376953,5501.35112419,23.3388125917
110,-0.000190734863281,5511.39008523,23.3417190396
111,-0.000171661376953,5521.42904628,23.3402658181
112,-0.000171661376953,5531.46800732,23.3417190396
113,-0.000152587890625,5541.50696837,23.3417190396
114,-0.000171661376953,5546.52644889,23.3460786752
115,-0.000190734863281,5546.52644889,23.3460786752
116,-0.000152587890625,5561.58489046,23.3417190396
117,-0.000152587890625,5576.64333202,23.3431722563
118,-0.000133514404297,5576.64333202,23.3431722563
119,-0.000171661376953,5591.70177359,23.3446254682
120,-0.000152587890625,5601.74073464,23.3417190396
121,-0.000171661376953,5611.77969568,23.3475318775
122,-0.000171661376953,5621.81865673,23.3431722563
123,-0.000171661376953,5626.83813725,23.3446254682
124,-0.000152587890625,5636.8770983,23.3446254682
